ID,InChIKey,Solubility,SD,Ocurrences,Group,MolWt,MolLogP,PredictedSolubility,Residual,AbsoluteResidual,Name,SMILES,abs_residual,MolWt_diff,MolLogP_diff,TPSA_diff,HBA_diff,HBD_diff,Rotatable_diff,rdkit_valid,has_metal,formal_charge,is_charged,atom_count,heavy_atom_count_rdkit,component_count,is_multicomponent,carbon_count,high_mw_95,high_mw_99,high_logp_95,high_logp_99,large_structure_95,large_structure_99,multicomponent_record,extreme_residual_95,extreme_residual_99,id_occurrences,repeated_id,smiles_occurrences,repeated_smiles,single_component,multicomponent,metal_free,neutral,high_mw,very_high_mw,high_logp,very_high_logp,candidate_single_component,candidate_single_neutral,candidate_standard_domain,candidate_conservative_domain,excluded_multicomponent,excluded_metal,excluded_charged,excluded_high_mw,excluded_high_logp
A-2084,SYHCUZIBEFBVNF-UHFFFAOYSA-H,-6.4900690111,0.0,1,G1,2404.9409999999984,22.23490000000001,-16.351099892334936,9.861030881234935,9.861030881234935,"dialuminium tris[2-(2,4,5,7-tetrabromo-6-oxido-3-oxoxanthen-9-yl)-3,4,5,6-tetrachlorobenzoate]",[Al+3].[Al+3].[O-]C(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C2=C3C=C(Br)C(=O)C(=C3Oc4c(Br)c([O-])c(Br)cc24)Br.[O-]C(=O)c5c(Cl)c(Cl)c(Cl)c(Cl)c5C6=C7C=C(Br)C(=O)C(=C7Oc8c(Br)c([O-])c(Br)cc68)Br.[O-]C(=O)c9c(Cl)c(Cl)c(Cl)c(Cl)c9C%10=C%11C=C(Br)C(=O)C(=C%11Oc%12c(Br)c([O-])c(Br)cc%10%12)Br,9.861030881234935,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,True,True,0,False,101,101,5,True,60,True,True,True,True,True,True,True,True,True,1,False,1.0,False,False,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True
A-5550,KFCWRPFNNIEZRY-UHFFFAOYSA-H,-7.4985586512,0.0,1,G1,504.2880000000002,-12.197899999999992,1.6848834969111088,-9.183442148111109,9.183442148111109,dialuminium(3+) ion trisulfate,O.O.O.O.O.O.O.O.O.[Al+3].[Al+3].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,9.183442148111109,5.684341886080804e-14,0.0,0.0,0.0,0.0,0.0,True,True,0,False,26,26,14,True,0,False,False,False,False,False,False,True,True,True,1,False,1.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
A-5823,GRQXGJNOPVEUOS-UHFFFAOYSA-N,-9.052340862,0.0,1,G1,2256.164999999997,27.923520000000096,-18.03743585235637,8.985094990356371,8.985094990356371,"2-[(E)-2-(2-chloro-4-{3-chloro-4-[(E)-2-{1-[(2,4-dimethylphenyl)carbamoyl]-2-oxopropyl}diazen-1-yl]phenyl}phenyl)diazen-1-yl]-N-(2,4-dimethylphenyl)-3-oxobutanamide; N-(4-chloro-2,5-dimethoxyphenyl)-2-[(E)-2-(2-chloro-4-{3-chloro-4-[(E)-2-{1-[(2,4-dimethylphenyl)carbamoyl]-2-oxopropyl}diazen-1-yl]phenyl}phenyl)diazen-1-yl]-3-oxobutanamide; N-(4-chloro-2,5-dimethoxyphenyl)-2-[(E)-2-(2-chloro-4-{3-chloro-4-[(E)-2-{1-[(4-chloro-2,5-dimethoxyphenyl)carbamoyl]-2-oxopropyl}diazen-1-yl]phenyl}phenyl)diazen-1-yl]-3-oxobutanamide",COc1cc(NC(=O)C(N=Nc2ccc(cc2Cl)c3ccc(N=NC(C(C)=O)C(=O)Nc4ccc(C)cc4C)c(Cl)c3)C(C)=O)c(OC)cc1Cl.COc5cc(NC(=O)C(N=Nc6ccc(cc6Cl)c7ccc(N=NC(C(C)=O)C(=O)Nc8cc(OC)c(Cl)cc8OC)c(Cl)c7)C(C)=O)c(OC)cc5Cl.CC(=O)C(N=Nc9ccc(cc9Cl)c%10ccc(N=NC(C(C)=O)C(=O)Nc%11ccc(C)cc%11C)c(Cl)c%10)C(=O)Nc%12ccc(C)cc%12C,8.985094990356371,0.0,0.0,5.684341886080804e-14,0.0,0.0,0.0,True,False,0,False,153,153,3,True,108,True,True,True,True,True,True,True,True,True,1,False,1.0,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True
A-4852,ZVBGUWYOZNSIJF-UHFFFAOYSA-N,-3.5397404208,0.2581190322443503,3,G5,1039.589,21.75128000000002,-12.356515863959489,8.816775443159488,8.816775443159488,"1,2,3,4-tetrahydronaphthalene; 1,3,5-trimethylbenzene; 1,4-diethylbenzene; 1H-indene; 2,3-dihydro-1H-indene; benzene; naphthalene; propan-2-ylbenzene; toluene",CCc1ccc(CC)cc1.CC(C)c2ccccc2.Cc3ccccc3.Cc4cc(C)cc(C)c4.C5CCc6ccccc6C5.C7Cc8ccccc8C7.C9C=Cc%10ccccc9%10.c%11ccccc%11.c%12ccc%13ccccc%13c%12,8.816775443159488,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,79,79,9,True,79,True,True,True,True,True,True,True,True,True,1,False,1.0,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True
A-2753,SWOKSHSHKMKETQ-WIBNQTOSSA-N,-7.800359899299999,0.0,1,G1,1452.4049999999995,29.98030000000008,-16.551144752194652,8.750784852894654,8.750784852894654,"methyl (9E,12E,15E)-octadeca-9,12,15-trienoate methyl (9Z)-octadec-9-enoate methyl (9Z,12Z)-octadeca-9,12-dienoate methyl hexadecanoate methyl octadecanoate",CCCCCCCCCCCCCCCCCC(=O)OC.CCCCCCCCCCCCCCCC(=O)OC.CCCCCCCC\C=C/CCCCCCCC(=O)OC.CCCCC/C=C\C\C=C/CCCCCCCC(=O)OC.CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)OC,8.750784852894654,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,103,103,5,True,93,True,True,True,True,True,True,True,True,True,1,False,1.0,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True
A-2336,IBZATQUGDOLKJX-GPRJLHHYSA-N,-5.4491260218,0.0,1,G1,1231.9699999999991,25.11710000000004,-14.137962060346918,8.688836038546919,8.688836038546919,"1-[(1E,5Z,9Z)-2,5,10-trimethylcyclododeca-1,5,9-trien-1-yl]ethan-1-one; 1-[(1R)-2,5,10-trimethylcyclododeca-2,5,9-trien-1-yl]ethan-1-one; 1-[(1R)-4,9-dimethyl-12-methylidenecyclododeca-4,8-dien-1-yl]ethan-1-one; 1-[(1S)-2,5,10-trimethylcyclododeca-2,5,9-trien-1-yl]ethan-1-one; 1-[(1S)-4,9-dimethyl-12-methylidenecyclododeca-4,8-dien-1-yl]ethan-1-one",CC(=O)[C@H]1CCC(=CCCC=C(C)CCC1=C)C.CC(=O)[C@@H]2CCC(=CCCC=C(C)CCC2=C)C.CC(=O)[C@H]3CCC(=CCCC=C(C)CC=C3C)C.CC(=O)[C@@H]4CCC(=CCCC=C(C)CC=C4C)C.CC/5=C/CC\C=C(C)/CC/C(=C(/C)CC5)C(C)=O,8.688836038546919,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,90,90,5,True,85,True,True,True,True,True,True,True,True,True,1,False,1.0,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True
A-2461,JVQCNSRVEPWJNL-UHFFFAOYSA-L,-5.4154147676,0.0,1,G1,1301.321999999999,23.95350000000004,-13.901797521149785,8.486382753549785,8.486382753549785,zinc bis[bis(tetrapropylenephenyl)] bis(hydrogen dithiophosphate),[Zn++].CCCC(C)C(CCC)C(C)Cc1ccc(O[P]([S-])(=S)Oc2ccc(CC(C)C(CCC)C(C)CCC)cc2)cc1.CCCC(C)C(CCC)C(C)Cc3ccc(O[P]([S-])(=S)Oc4ccc(CC(C)C(CCC)C(C)CCC)cc4)cc3,8.486382753549785,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,True,True,0,False,83,83,3,True,72,True,True,True,True,True,True,True,True,True,1,False,1.0,False,False,True,False,True,True,True,True,True,False,False,False,False,True,True,False,True,True
A-5563,VYZAMTAEIAYCRO-UHFFFAOYSA-N,-10.0169999307,0.0,1,G1,51.996,-0.0025,-1.5576600213091885,-8.459339909390813,8.459339909390813,chromium,[Cr],8.459339909390813,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0,False,1,1,1,False,0,False,False,False,False,False,False,False,True,True,1,False,1.0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
A-2661,KNXVOGGZOFOROK-UHFFFAOYSA-N,-6.5789404760000005,0.0,1,G1,379.2630000000001,-11.3888,1.7353127206918293,-8.31425319669183,8.31425319669183,Talc (Mg3H2(SiO3)4),[Mg++].[Mg++].[Mg++].O[Si]([O-])=O.O[Si]([O-])=O.[O-][Si]([O-])=O.[O-][Si]([O-])=O,8.31425319669183,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0,False,19,19,7,True,0,False,False,False,False,False,False,True,True,True,1,False,1.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
A-2272,LEHFSLREWWMLPU-UHFFFAOYSA-B,-7.3381588933,1.3879820748700695,3,G4,653.5520000000004,-11.3059,0.9380986111754952,-8.276257504475495,8.276257504475495,zirconium(4+) ion diphosphate,[Zr+4].[Zr+4].[Zr+4].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O,8.276257504475495,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,True,True,0,False,23,23,7,True,0,True,False,False,False,False,False,True,True,True,1,False,1.0,False,False,True,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False
A-5716,VSCWAEJMTAWNJL-UHFFFAOYSA-K,-6.568661207100001,3.314735505774053,4,G4,133.341,-9.3688,1.676155875762967,-8.244817082862967,8.244817082862967,aluminium(3+) ion dichloride hydroxide,[Al+3].[Cl-].[Cl-].[Cl-],8.244817082862967,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0,False,4,4,4,True,0,False,False,False,False,False,False,True,True,True,1,False,1.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
A-2154,BQLBNJKYLGWYQM-ZWUGTYOTSA-N,-6.5970388257,0.2437198757500005,2,G3,1205.976,26.759600000000063,-14.67227245808638,8.07523363238638,8.07523363238638,"3-[(7Z)-pentadec-7-en-1-yl]phenol; 3-[(7Z,10Z)-pentadeca-7,10,14-trien-1-yl]phenol; 3-[(7Z,10Z)-pentadeca-7,10-dien-1-yl]phenol; 3-pentadecylphenol",CCCCCCCCCCCCCCCc1cccc(O)c1.CCCCCCC\C=C/CCCCCCc2cccc(O)c2.CCCC/C=C\C\C=C/CCCCCCc3cccc(O)c3.Oc4cccc(CCCCCC\C=C/C/C=C\CCC=C)c4,8.07523363238638,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,88,88,4,True,84,True,True,True,True,True,True,True,True,True,1,False,1.0,False,False,True,True,True,True,True,True,True,False,False,False,False,True,False,False,True,True
A-5970,GKOZUEZYRPOHIO-UHFFFAOYSA-N,-9.9827617991,0.0,1,G1,192.217,-0.0025,-1.9495480961902,-8.033213702909801,8.033213702909801,iridium(3+),[Ir],8.033213702909801,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0,False,1,1,1,False,0,False,False,False,False,False,False,False,True,True,1,False,1.0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
A-2388,PQKUZJNOANDNSP-UHFFFAOYSA-N,-0.7942190429000001,0.0,1,G1,1618.7970000000007,6.383200000000008,-8.296265441720681,7.502046398820681,7.502046398820681,"2-hydroxypropanoic acid; 5-({bis[(2-aminopropyl)amino]-1,3,5-triazin-2-yl}amino)-3-{2-[4-({4-[(4-{2-[8-({bis[(2-aminopropyl)amino]-1,3,5-triazin-2-yl}amino)-1-hydroxy-3,6-disulfonaphthalen-2-yl]diazen-1-yl}phenyl)amino]-6-{[3-(diethylamino)propyl]amino}-1,3,5-triazin-2-yl}amino)phenyl]diazen-1-yl}-4-hydroxynaphthalene-2,7-disulfonic acid",CCN(CC)CCCNc1nc(Nc2ccc(cc2)N=Nc3c(O)c4c(Nc5nc(NCC(C)N)nc(NCC(C)N)n5)cc(cc4cc3[S](O)(=O)=O)[S](O)(=O)=O)nc(Nc6ccc(cc6)N=Nc7c(O)c8c(Nc9nc(NCC(C)N)nc(NCC(C)N)n9)cc(cc8cc7[S](O)(=O)=O)[S](O)(=O)=O)n1.CC(O)C(O)=O,7.502046398820681,0.0,0.0,0.0,0.0,0.0,0.0,True,False,0,False,111,111,2,True,63,True,True,False,False,True,True,True,True,True,1,False,1.0,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,False
A-1445,RILYHWBPLWVCBV-UHFFFAOYSA-N,-5.1305146868,0.0,1,G1,302.526,-12.3904,2.319900791043275,-7.450415477843275,7.450415477843275,aluminium(3+) ion magnesium(2+) ion sodium tris(oxosilanebis(olate)),[Na+].[Mg++].[Al+3].[O-][Si]([O-])=O.[O-][Si]([O-])=O.[O-][Si]([O-])=O,7.450415477843275,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,True,True,0,False,15,15,6,True,0,False,False,False,False,False,False,True,True,True,1,False,1.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
A-6086,BYMHXIQVEAYSJD-UHFFFAOYSA-M,-8.3631893131,0.0,1,G1,196.159,-2.699699999999999,-0.9638604432461628,-7.399328869853837,7.399328869853837,sodium 4-hydroxybenzene-1-sulfonate,[Na+].Oc1ccc(cc1)[S]([O-])(=O)=O,7.399328869853837,2.8421709430404014e-14,0.0,0.0,0.0,0.0,0.0,True,True,0,False,12,12,2,True,6,False,False,False,False,False,False,True,True,True,1,False,1.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
A-6100,CETPSERCERDGAM-UHFFFAOYSA-N,-9.1459110865,0.0,1,G1,172.114,-0.2376,-1.8064872230447504,-7.3394238634552496,7.3394238634552496,cerium dioxide,O=[Ce]=O,7.3394238634552496,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0,False,3,3,1,False,0,False,False,False,False,False,False,False,True,True,1,False,1.0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
