ID,observed_solubility,mean_prediction,mean_residual,mean_absolute_error,prediction_sd,prediction_range,failure_mode,rdkit_molwt,rdkit_mollogp,rdkit_ring_count,rdkit_aromatic_rings,rdkit_rotatable_bonds,rdkit_fraction_csp3
A-5980,-9.0249738719,-2.269105694460059,-6.755868177439941,6.755868177439941,0.3837913468875095,0.8649862358501381,High-error + high-uncertainty,423.6760000000001,-0.917,3,0,0,1.0
B-2832,-11.4795,-9.38044863165818,-2.099051368341821,2.099051368341821,0.984110333522699,2.1220486855347787,High-error + high-uncertainty,425.3090000000002,8.1584,3,2,0,0.0
A-6042,-7.214642713,-5.370398420772217,-1.8442442922277829,1.8442442922277829,0.9992975948400006,1.4132202114695431,High-error + high-uncertainty,306.5379999999999,6.823600000000007,1,1,16,0.85
A-2335,-4.8251168095,-0.7788035614982066,-4.046313248001794,4.046313248001794,0.6706503854718717,1.238315340454793,High-error + high-uncertainty,296.156,-2.195199999999998,1,0,4,1.0
A-4449,-0.6984761493999999,-7.357775264440619,6.659299115040618,6.659299115040618,0.288427605589408,0.513207368702453,High-error + high-uncertainty,596.7710000000004,6.205800000000007,4,4,11,0.2903225806451613
A-3146,0.7924026819,-1.1029749073483635,1.8953775892483637,1.8953775892483637,0.9445890389922288,1.806487762186116,High-error + high-uncertainty,140.19,-1.0197999999999992,4,0,0,1.0
A-2728,-6.855595468500002,-5.545217304711888,-1.3103781637881131,1.3103781637881131,1.015406725041016,2.0266969867624134,High-error + high-uncertainty,358.56300000000005,5.000200000000006,0,0,18,0.9523809523809524
B-894,1.4942,-0.9194419486993614,2.4136419486993614,2.4136419486993614,0.854912439320183,1.6396612676832627,High-error + high-uncertainty,32.046,-1.1812,0,0,0,0.0
A-2622,-6.417202563200001,-1.0753990018830895,-5.341803561316912,5.341803561316912,0.407731363902464,0.803318716530891,High-error + high-uncertainty,522.6760000000004,1.9984000000000008,1,0,25,0.9615384615384616
A-1345,-3.8454729507,-2.062966870057309,-1.7825060806426907,1.7825060806426907,0.8988703134208713,1.271194588054351,High-error + high-uncertainty,154.13299999999998,-0.3789000000000002,1,1,1,0.0
A-5480,-4.4504277175,-8.601080622858518,4.150652905358519,4.150652905358519,0.5707069714333612,0.807101539141934,High-error + high-uncertainty,564.232,8.3178,8,8,0,0.0
A-3306,0.2865181043,-3.2134137118252037,3.4999318161252035,3.4999318161252035,0.6433085011249728,1.276627851840196,High-error + high-uncertainty,351.55300000000005,2.889800000000001,0,0,15,1.0
B-3124,-11.481699999999998,-8.688705979098737,-2.7929940209012636,2.7929940209012636,0.7384833138254564,1.4702199728231138,High-error + high-uncertainty,409.31000000000006,8.159799999999999,3,3,0,0.0
A-4918,-3.3623020198,-4.959888353939465,1.597586334139465,1.597586334139465,0.8963003315743665,1.7481165224426205,High-error + high-uncertainty,322.4260000000001,5.552800000000006,0,0,14,1.0
A-6040,-8.4761487948,-5.646167008918721,-2.829981785881279,2.829981785881279,0.7259034407647346,1.4384172812462142,High-error + high-uncertainty,598.6580000000001,7.414600000000006,9,7,6,0.1
E-866,-0.17,-2.271496445387329,2.1014964453873293,2.1014964453873293,0.8012599483713563,1.133152685973138,High-error + high-uncertainty,254.246,-2.213099999999999,2,2,3,0.5
A-5604,-6.566718008,-0.15381889168980378,-6.412899116310196,6.412899116310196,0.1982995323085101,0.3931293502087193,High-error + high-uncertainty,30.974,0.8612,0,0,0,0.0
B-1945,-1.7166,-4.782829757124984,3.0662297571249844,3.0662297571249844,0.6463771318298132,1.1670630600539242,High-error + high-uncertainty,234.3199999999999,4.6814000000000044,0,0,10,1.0
A-2607,-5.6698930776,-3.3131716119377366,-2.3567214656622633,2.3567214656622633,0.7325367395757466,1.4602806341729204,High-error + high-uncertainty,140.286,-2.4172,13,0,0,0.0
A-326,-1.4593774078,-4.075391455040843,2.6160140472408426,2.6160140472408426,0.6762967536538979,1.351750144864675,High-error + high-uncertainty,230.39199999999997,3.916200000000003,0,0,13,1.0
H-245,-10.66,-8.65934801706546,-2.000651982934541,2.000651982934541,0.7534283243334035,1.499951762255873,High-error + high-uncertainty,374.86500000000007,7.5064,3,3,0,0.0
B-4428,-10.9486,-8.845634106106058,-2.102965893893942,2.102965893893942,0.7367777369918813,1.6400857956810508,High-error + high-uncertainty,390.86400000000015,7.505000000000001,3,2,0,0.0
B-655,-8.1724,-6.299993566017889,-1.8724064339821105,1.8724064339821105,0.743313444992449,1.3602555512613312,High-error + high-uncertainty,282.5559999999999,8.048000000000007,0,0,17,1.0
A-4957,-3.6312456143999996,-5.372652360660601,1.7414067462606007,1.7414067462606007,0.7594530840570048,1.3769745492312344,High-error + high-uncertainty,269.5169999999999,6.206600000000005,0,0,16,1.0
A-4534,1.3463919758000003,-0.48604722713069454,1.8324392029306946,1.8324392029306946,0.7345260261121638,1.386432181914125,High-error + high-uncertainty,45.041,-0.8985000000000001,0,0,0,0.0
A-5529,-7.835715931,-5.3545264745654535,-2.4811894564345462,2.4811894564345462,0.6402256578338343,1.2804321874041555,High-error + high-uncertainty,342.5200000000001,5.285800000000005,0,0,15,0.9
B-142,-3.4634,-7.538181180818313,4.074781180818313,4.074781180818313,0.4175305096405834,0.5904773094382634,High-error + high-uncertainty,406.907,6.609000000000001,2,2,2,0.0769230769230769
C-2439,-10.3,-8.65934801706546,-1.6406519829345412,1.6406519829345412,0.7534283243334035,1.499951762255873,High-error + high-uncertainty,374.865,7.5064,3,3,0,0.0
A-4305,-1.3016357757,-2.492751513365318,1.1911157376653176,1.1911157376653176,0.7924729471563917,1.45771314624404,High-error + high-uncertainty,336.4690000000001,2.643700000000001,0,0,20,1.0
B-2753,-0.5781,-4.961191816312575,4.383091816312575,4.383091816312575,0.3495062331342081,0.6989929706208367,High-error + high-uncertainty,378.531,4.906400000000003,0,0,17,0.8333333333333334
B-2814,-0.5781,-4.961191816312575,4.383091816312575,4.383091816312575,0.3495062331342081,0.6989929706208367,High-error + high-uncertainty,378.531,4.906400000000003,0,0,17,0.8333333333333334
A-5578,-6.813060611,-8.460397724015674,1.647337113015674,1.647337113015674,0.7220913665746544,1.0211914038823986,High-error + high-uncertainty,604.7050000000002,9.868199999999996,4,2,4,0.6363636363636364
A-2745,-6.9799366685,-5.639121805530375,-1.3408148629696253,1.3408148629696253,0.7576248678938932,1.4568562319153644,High-error + high-uncertainty,286.456,5.572400000000006,0,0,12,0.9411764705882352
F-715,-1.53,-5.009418995550725,3.479418995550724,3.479418995550724,0.4382257591138656,0.8750402929143606,High-error + high-uncertainty,225.41999999999996,4.613000000000004,1,0,9,1.0
A-5450,-2.4949028287,-4.920002818670102,2.4250999899701022,2.4250999899701022,0.57723523022924,1.0026885433582446,High-error + high-uncertainty,312.538,6.032800000000007,0,0,18,0.9
A-5621,-7.905255356199999,-5.568427608168413,-2.3368277480315864,2.3368277480315864,0.5880699826166443,1.0837565691926478,High-error + high-uncertainty,627.1190000000001,4.817300000000004,4,3,11,0.2333333333333333
B-1512,-0.5932,-5.1934350403898515,4.600235040389852,4.600235040389852,0.2724146453607133,0.5441796467220126,High-error + high-uncertainty,218.3209999999999,4.749800000000005,0,0,9,1.0
A-5022,-4.672731896,-8.258095202735548,3.585363306735548,3.585363306735548,0.3893300140410286,0.5505957860957302,High-error + high-uncertainty,847.2359999999995,7.777400000000011,4,0,11,0.9166666666666666
A-6020,-6.975819717300001,-5.526672107798109,-1.4491476095018925,1.4491476095018925,0.6794783509375035,1.3481966042181774,High-error + high-uncertainty,340.5040000000002,5.061800000000005,0,0,14,0.8
B-1368,-4.0326,-5.22619571474602,1.1935957147460206,1.1935957147460206,0.7128623673643163,1.2530433065294924,High-error + high-uncertainty,227.43599999999995,4.859000000000005,0,0,12,1.0
A-5310,0.8470942954,-0.9828398458477572,1.8299341412477572,1.8299341412477572,0.6232691034266463,0.8814356190740825,High-error + high-uncertainty,142.202,-1.0214999999999987,3,0,1,1.0
A-6088,-8.848512616699999,-6.996893456148895,-1.8516191605511039,1.8516191605511039,0.6149091001168298,0.8696127890118559,High-error + high-uncertainty,570.7700000000002,8.852300000000003,4,3,3,0.4594594594594595
B-2700,-5.2239,-7.137222713536509,1.9133227135365085,1.9133227135365085,0.6012611609973594,0.8503116884106587,High-error + high-uncertainty,368.369,6.454900000000006,3,3,7,0.1428571428571428
A-2623,-6.256077615900001,-4.801178558787716,-1.454899057112285,1.454899057112285,0.6640909002861074,1.2654202236975864,High-error + high-uncertainty,270.50099999999986,6.096100000000007,0,0,15,1.0
B-1658,-7.506,-4.441885745318209,-3.0641142546817917,3.0641142546817917,0.4412291523463517,0.8272985452109243,High-error + high-uncertainty,256.4739999999999,5.850100000000007,0,0,15,1.0
A-192,-5.593122621900001,-3.28522937183009,-2.307893250069911,2.307893250069911,0.5440313689249212,1.0819870298627232,High-error + high-uncertainty,313.482,4.6685000000000025,0,0,16,0.8888888888888888
A-5266,-1.0605299646,-5.19253615816506,4.13200619356506,4.13200619356506,0.2914438814567921,0.7207627232760814,High-error + high-uncertainty,310.38000000000005,4.915540000000004,2,2,4,0.1428571428571428
B-1982,-4.1009,-5.355024760491539,1.2541247604915398,1.2541247604915398,0.6886110515541541,1.358337422371326,High-error + high-uncertainty,378.4330000000002,5.158400000000005,0,0,14,1.0
A-2757,-7.4761487948,-5.791834878046224,-1.6843139167537766,1.6843139167537766,0.6255120871220545,0.8846076770363105,High-error + high-uncertainty,598.6580000000001,8.572080000000001,9,7,2,0.1
A-1199,-3.9356925608,-5.491903707458779,1.5562111466587787,1.5562111466587787,0.6371834020012918,1.2505966826644688,High-error + high-uncertainty,241.46299999999997,5.249100000000005,0,0,13,1.0
A-199,-7.5558815137,-5.9729562820757325,-1.5829252316242677,1.5829252316242677,0.6324065941434996,0.8943579823719148,High-error + high-uncertainty,899.1279999999997,5.911600000000007,8,0,7,0.78
A-5853,-7.5095589026,-6.139850977663507,-1.3697079249364932,1.3697079249364932,0.6534922272067457,0.92417757062118,High-error + high-uncertainty,501.061,5.750900000000004,2,0,8,0.7647058823529411
A-4204,-2.2334403365,-6.506348863944382,4.272908527444382,4.272908527444382,0.2510964974406031,0.4865624634905074,High-error + high-uncertainty,342.35000000000014,5.056400000000003,4,4,3,0.0
A-5977,-8.1939864578,-4.886965060327942,-3.3070213974720577,3.3070213974720577,0.3757000197014968,0.7509139888020195,High-error + high-uncertainty,284.484,5.886700000000007,0,0,14,0.9444444444444444
B-3179,-0.0384,-1.945642137391723,1.9072421373917228,1.9072421373917228,0.5669231071160965,1.0621007623843104,High-error + high-uncertainty,131.091,-2.2128,0,0,2,0.0
B-2815,-6.7697,-4.644917778906315,-2.124782221093685,2.124782221093685,0.5355064111820582,0.9315901986894168,High-error + high-uncertainty,242.44699999999992,5.460000000000006,0,0,14,1.0
A-5901,-7.484220297999999,-5.623962143136732,-1.860258154863267,1.860258154863267,0.5696070467570261,1.1212146441440396,High-error + high-uncertainty,338.48800000000006,5.126000000000005,0,0,15,0.7
A-1635,-4.1541956574,-1.190035734385316,-2.964159923014684,2.964159923014684,0.4007467218320845,0.566741449091492,High-error + high-uncertainty,228.2,-0.5032000000000003,1,0,2,0.6
B-2577,-1.4757,-3.462258370929405,1.986558370929405,1.986558370929405,0.5357214320954936,0.9600830088520458,High-error + high-uncertainty,224.237,3.3743000000000025,0,0,9,1.0
A-2004,-5.506567842999999,-7.03177819771467,1.5252103547146703,1.5252103547146703,0.596956313572884,1.0992897800329606,High-error + high-uncertainty,449.4650000000002,6.354100000000004,8,7,0,0.0
A-1505,-4.524775941100001,-6.120070359867791,1.5952944187677902,1.5952944187677902,0.587163101713816,0.8303740217687317,High-error + high-uncertainty,639.4540000000002,7.630800000000004,9,7,2,0.0
B-2294,-1.4995,-3.462258370929405,1.9627583709294047,1.9627583709294047,0.5357214320954936,0.9600830088520458,High-error + high-uncertainty,224.23699999999997,3.3743000000000025,0,0,9,1.0
A-5474,-4.3931837232,-7.21470360327629,2.82151988007629,2.82151988007629,0.4133565337510264,0.768055947559203,High-error + high-uncertainty,494.55400000000026,6.515600000000005,8,6,3,0.125
B-1047,-1.5412,-3.462258370929405,1.921058370929405,1.921058370929405,0.5357214320954936,0.9600830088520458,High-error + high-uncertainty,224.23699999999997,3.3743000000000025,0,0,9,1.0
H-94,-12.949999999999998,-9.16328277917671,-3.7867172208232898,3.7867172208232898,0.2758229709886295,0.7108899183596833,High-error + high-uncertainty,514.6610000000003,10.0129,2,2,2,0.0
A-6026,-7.9318475776,-5.479428340009328,-2.452419237590673,2.452419237590673,0.4599589426157076,0.8636292453442689,High-error + high-uncertainty,256.42999999999995,5.106500000000005,0,0,12,0.9375
B-273,-3.3682,-4.781810093681041,1.413610093681041,1.413610093681041,0.5993623845898733,0.8476264130632778,High-error + high-uncertainty,408.5790000000002,3.4487000000000023,4,0,4,0.9583333333333334
A-2177,-5.923156849500001,-3.7847729767738976,-2.138383872726103,2.138383872726103,0.4979121257041491,0.7041540810408251,High-error + high-uncertainty,184.323,3.916000000000003,1,0,9,1.0
A-2318,-8.9978390846,-6.0996265724809975,-2.8982125121190028,2.8982125121190028,0.3925175567421341,0.7759835599487444,High-error + high-uncertainty,298.511,6.420900000000007,0,0,16,0.9473684210526316
A-216,-7.6382805905,-3.676796421152018,-3.961484169347982,3.961484169347982,0.2379809398892489,0.336555872777672,High-error + high-uncertainty,291.31,2.3476800000000004,3,2,2,0.1176470588235294
B-359,0.3783,-3.812726598472096,4.191026598472096,4.191026598472096,0.2062149988410208,0.4354141147904196,High-error + high-uncertainty,209.252,2.5524000000000004,3,3,0,0.0
A-5964,-9.4071737246,-5.172607345827816,-4.2345663787721834,4.2345663787721834,0.1924070516647769,0.3649495962188886,High-error + high-uncertainty,384.8460000000002,4.828000000000005,0,0,8,1.0
B-455,-7.0641,-3.412225638399827,-3.6518743616001728,3.6518743616001728,0.2721886947430079,0.5348983218186394,High-error + high-uncertainty,162.27599999999998,3.373800000000002,1,1,3,0.5
A-6079,-8.4055410062,-5.15978171771086,-3.2457592884891397,3.2457592884891397,0.3230113776545603,0.6423629241534652,High-error + high-uncertainty,254.41399999999996,5.026600000000005,0,0,12,0.8125
F-724,-2.24,-5.1941217403130935,2.9541217403130933,2.9541217403130933,0.362704440813319,0.6948243148028137,High-error + high-uncertainty,312.586,5.090400000000005,0,0,11,1.0
A-2262,-6.806908840999999,-4.911004434413555,-1.8959044065864459,1.8959044065864459,0.5065754161974402,0.9724102829089842,High-error + high-uncertainty,256.42999999999995,5.552300000000005,0,0,14,0.9375
A-6094,-9.2047594175,-6.052259174469897,-3.152500243030104,3.152500243030104,0.3314620831615237,0.5905792948976174,High-error + high-uncertainty,640.9430000000001,9.011200000000004,0,0,28,0.8918918918918919
B-529,0.5373,-3.1208739936535395,3.65817399365354,3.65817399365354,0.2604207106430203,0.4992991948539025,High-error + high-uncertainty,290.189,3.3652000000000024,0,0,10,1.0
A-3374,0.0571886956,-3.2407872947729883,3.297975990372988,3.297975990372988,0.3101512652512807,0.4386201257055364,High-error + high-uncertainty,530.6180000000004,2.116999999999999,3,2,20,0.5
B-2397,0.3322,-1.9545003668645105,2.28670036686451,2.28670036686451,0.4494964039384654,0.822303685967374,High-error + high-uncertainty,355.5750000000001,1.8040000000000005,0,0,18,0.8888888888888888
F-1119,-3.54,-7.570986950604334,4.030986950604334,4.030986950604334,0.2035614043533215,0.5121917205681523,High-error + high-uncertainty,416.1350000000001,6.454800000000004,3,3,6,0.1666666666666666
C-420,-3.63,-4.781810093681041,1.151810093681041,1.151810093681041,0.5993623845898733,0.8476264130632778,High-error + high-uncertainty,408.5790000000002,3.4487000000000023,4,0,4,0.9583333333333334
A-2268,-7.516526119400001,-5.213154233521953,-2.3033718858780476,2.3033718858780476,0.4400726201083586,0.8255604329867507,High-error + high-uncertainty,328.4930000000001,5.183900000000006,0,0,16,0.8947368421052632
C-1515,-6.33,-3.750310767278547,-2.579689232721453,2.579689232721453,0.4012429920314446,0.5674432811380288,High-error + high-uncertainty,296.332,2.1513400000000003,3,1,0,0.0
C-1571,-4.31,-5.753685911485956,1.4436859114859566,1.4436859114859566,0.5549491024184012,0.9673558678961164,High-error + high-uncertainty,242.40299999999996,5.162200000000004,0,0,13,0.9333333333333332
C-2498,-2.05,-5.173633732962133,3.1236337329621335,3.1236337329621335,0.3222167015360015,0.455683229335337,High-error + high-uncertainty,458.9670000000002,3.966300000000003,4,2,4,0.3043478260869565
A-2696,-6.8531467823000005,-5.4827834245486,-1.3703633577514005,1.3703633577514005,0.5596451551950761,1.105273300886461,High-error + high-uncertainty,356.54700000000025,5.820000000000007,0,0,16,0.9047619047619048
A-1490,1.5823133383,-0.487803350401436,2.0701166887014364,2.0701166887014364,0.4616059152593053,0.6528093458313552,High-error + high-uncertainty,500.65800000000047,0.7696000000000052,1,0,27,1.0
A-4756,-2.8923562141,-5.7712251444954035,2.8788689303954036,2.8788689303954036,0.3489989508712168,0.677586532315658,High-error + high-uncertainty,468.282,4.993400000000002,0,0,10,1.0
A-481,-3.8360757577,-5.1846856770040874,1.348609919304088,1.348609919304088,0.5567235535490428,0.994301141876254,High-error + high-uncertainty,438.7890000000002,5.921700000000004,0,0,27,0.925925925925926
A-2751,-7.2023327624,-5.776444275226371,-1.425888487173629,1.425888487173629,0.5430101725239651,0.7679323504899456,High-error + high-uncertainty,382.42300000000006,4.464980000000003,5,5,3,0.1739130434782608
B-224,-4.9058,-3.7423353939730375,-1.1634646060269633,1.1634646060269633,0.5726837241815373,1.0548778506585053,High-error + high-uncertainty,402.4840000000002,3.0984000000000016,0,0,15,0.8
A-2624,-6.378367614400001,-4.009560680401395,-2.3688069339986058,2.3688069339986058,0.4060868520542446,0.7463116103913281,High-error + high-uncertainty,358.47500000000014,3.945300000000002,0,0,15,0.8421052631578947
A-2685,-6.905873560900001,-3.3513028003866068,-3.554570760513393,3.554570760513393,0.2410630163713642,0.431717760385546,High-error + high-uncertainty,402.57200000000006,3.492400000000002,1,0,17,0.9545454545454546
D-1542,0.723,-0.7409658182701132,1.463965818270113,1.463965818270113,0.5299099377006554,1.0598108897248637,High-error + high-uncertainty,189.307,-2.327399999999997,0,0,10,1.0
A-5267,0.9642581623,-3.0238360136332103,3.98809417593321,3.98809417593321,0.1788998570586932,0.2530026041590121,High-error + high-uncertainty,271.44499999999994,3.0662000000000016,1,0,10,1.0
C-1690,-4.59,-2.682645682592561,-1.9073543174074392,1.9073543174074392,0.4663309996850363,0.6594916243095819,High-error + high-uncertainty,252.31399999999996,1.8633,2,0,0,0.7692307692307693
A-5465,-3.775990335,-6.188244144087117,2.4122538090871166,2.4122538090871166,0.3945850295889708,0.7827437017588883,High-error + high-uncertainty,298.5109999999999,6.722600000000007,0,0,17,0.9473684210526316
A-2032,-5.6941064111,-7.362324782869273,1.6682183717692731,1.6682183717692731,0.4957800045666108,0.7011388064114961,High-error + high-uncertainty,543.875,6.4737000000000045,2,2,2,0.2
F-1158,-1.29,-4.509043824931078,3.219043824931079,3.219043824931079,0.2751790576589378,0.3891619554223178,High-error + high-uncertainty,384.52000000000015,3.522700000000002,3,2,8,0.5217391304347826
B-1401,-1.3662,-2.6270442715932814,1.260844271593281,1.260844271593281,0.5438925885891542,1.0803747089291629,High-error + high-uncertainty,232.36399999999995,2.472700000000001,0,0,10,1.0
A-2438,-6.654998170599999,-5.442467088372904,-1.2125310822270947,1.2125310822270947,0.550265696420229,1.0951142493117194,High-error + high-uncertainty,374.5870000000002,5.238800000000006,0,0,16,0.9
B-2333,0.6187,-2.200502097298294,2.8192020972982945,2.8192020972982945,0.3281118172024098,0.6307864355148669,High-error + high-uncertainty,141.94199999999998,-2.1706,0,0,0,0.0
A-6085,-8.6461429905,-4.809197233079933,-3.8369457574200667,3.8369457574200667,0.183421094326016,0.2593965992211666,High-error + high-uncertainty,376.3240000000001,3.525000000000001,4,3,3,0.0
C-1069,-8.83,-7.260894876191897,-1.5691051238081029,1.5691051238081029,0.4962796956883893,1.1776208313363918,High-error + high-uncertainty,300.36,6.919200000000003,7,7,0,0.0
A-2036,-5.7380720068,-7.946914932500125,2.208842925700124,2.208842925700124,0.4059110754789904,0.9282836256119182,High-error + high-uncertainty,574.4620000000002,8.9764,5,5,12,0.0
A-2453,-4.9504317948,-7.256968757892025,2.306536963092026,2.306536963092026,0.3891730419002065,0.8984365897344979,High-error + high-uncertainty,713.71,6.146200000000004,8,6,7,0.048780487804878
B-4371,-2.0061,-5.9632263348394305,3.957126334839431,3.957126334839431,0.1611020536401494,0.283636596520167,High-error + high-uncertainty,552.6580000000001,4.7458,1,1,1,0.0
F-1011,-3.93,-1.0086248239201625,-2.9213751760798377,2.9213751760798377,0.2994152910965224,0.6254093189155525,High-error + high-uncertainty,214.221,-0.1789999999999999,1,0,3,0.6666666666666666
B-232,-2.6995,-4.344054945458321,1.6445549454583215,1.6445549454583215,0.4749323636984046,0.9487635572320195,High-error + high-uncertainty,250.3189999999999,4.613000000000004,0,0,11,1.0
B-1423,-9.4464,-6.72454315636852,-2.7218568436314805,2.7218568436314805,0.3257747565258439,0.6447097612753234,High-error + high-uncertainty,212.42099999999996,6.097500000000006,0,0,12,1.0
A-3074,-4.8472795348,-7.649634389860824,2.8023548550608237,2.8023548550608237,0.3142030896381792,0.577346972020977,High-error + high-uncertainty,562.8200000000002,9.8817,3,3,21,0.5
B-1425,-8.3339,-6.281185456536559,-2.052714543463441,2.052714543463441,0.4174592054210219,0.7505040209131781,High-error + high-uncertainty,366.7180000000002,10.388599999999991,0,0,23,1.0
B-3426,-2.8474,-6.399456304560607,3.5520563045606073,3.5520563045606073,0.2098434862783499,0.409420966868157,High-error + high-uncertainty,281.4839999999999,5.357800000000005,1,0,0,0.9444444444444444
C-2503,-2.01,-5.11766022623103,3.10766022623103,3.10766022623103,0.2706463146513637,0.5402378846757347,High-error + high-uncertainty,613.9150000000001,3.1154,1,1,3,0.1818181818181818
C-2510,-2.7,-5.523993016341298,2.823993016341298,2.823993016341298,0.3085440119135199,0.4363471262371057,High-error + high-uncertainty,453.5640000000002,4.573300000000005,3,2,6,0.3333333333333333
B-2293,-1.8456,-3.742269687962835,1.8966696879628346,1.8966696879628346,0.4366657596477446,0.8678728902603208,High-error + high-uncertainty,238.26399999999992,3.764400000000003,0,0,10,1.0
F-742,-4.63,-6.45870433890843,1.8287043389084303,1.8287043389084303,0.4453003722974489,0.6297498258328407,High-error + high-uncertainty,390.9580000000002,5.555620000000006,4,3,5,0.28
A-2633,-6.327740788400001,-4.148858389049398,-2.178882399350603,2.178882399350603,0.3940836761288525,0.7671671659565549,High-error + high-uncertainty,276.493,4.395300000000004,0,0,13,1.0
A-1524,-3.0802067631,-1.3560749707330015,-1.724131792366998,1.724131792366998,0.4540815801211134,0.6421683290310838,High-error + high-uncertainty,221.32199999999995,1.1865999999999997,1,0,5,1.0
F-811,-2.64,-6.167140774102915,3.5271407741029144,3.5271407741029144,0.2038134589922804,0.4357321745429594,High-error + high-uncertainty,399.9660000000001,5.972400000000007,3,3,9,0.4347826086956521
A-1390,-3.3290743263999993,-7.21726255749465,3.888188231094651,3.888188231094651,0.1536791437914262,0.2729933687492689,High-error + high-uncertainty,426.6820000000002,7.626400000000009,0,0,21,0.9230769230769232
B-3396,-5.2966,-3.521576335424574,-1.775023664575426,1.775023664575426,0.4454041585252977,0.6298966017238521,High-error + high-uncertainty,354.3370000000002,1.9281,4,1,2,0.3157894736842105
B-2078,0.2984,-1.4939580762704505,1.7923580762704505,1.7923580762704505,0.442802645084034,0.626217506132521,High-error + high-uncertainty,305.31500000000005,0.0911000000000012,3,0,3,1.0
A-1099,-4.9587331394,-3.3213882207314236,-1.6373449186685756,1.6373449186685756,0.4642199478559068,0.8958253070458326,High-error + high-uncertainty,346.46400000000017,3.2666000000000013,0,0,17,0.8888888888888888
A-2464,-4.7999839607,-6.029599390947048,1.229615430247048,1.229615430247048,0.519420163532968,0.9508866123777304,High-error + high-uncertainty,296.539,7.060400000000008,0,0,17,0.9
B-944,-2.3208,-3.9435722592383193,1.622772259238319,1.622772259238319,0.4580393117994232,0.8889721807304802,High-error + high-uncertainty,627.9420000000002,2.793100000000001,1,1,4,0.25
A-383,-3.7183913352,-5.355867488570287,1.6374761533702873,1.6374761533702873,0.454502528566529,0.866655040862045,High-error + high-uncertainty,381.69300000000015,5.942000000000005,0,0,23,0.9166666666666666
C-1500,-10.6,-8.389979491473918,-2.210020508526082,2.210020508526082,0.3729289798138862,0.989230884294412,High-error + high-uncertainty,445.771,8.7061,2,2,2,0.0
F-691,-3.09,-5.276594951109076,2.1865949511090763,2.1865949511090763,0.3756892572624279,0.5313048428584004,High-error + high-uncertainty,287.4060000000001,4.697900000000004,4,2,0,0.238095238095238
A-5998,-7.7185099927,-6.352809616338202,-1.3657003763617974,1.3657003763617974,0.4878738319142502,0.8933513647101954,High-error + high-uncertainty,418.4080000000002,4.188800000000003,7,5,0,0.0769230769230769
A-1648,-3.6026675784,0.00022013837082809906,-3.6028877167708284,3.6028877167708284,0.1783468870785833,0.314259454264346,High-error + high-uncertainty,60.084,-0.6184000000000001,0,0,0,0.0
