ID,scaffold_key,split
B-1861,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,train
B-3129,c1ccc(-c2ccccc2)cc1,train
B-2748,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,train
A-3179,C(=C\c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1)/c1ccc(Nc2ncnc(Nc3ccccc3)n2)cc1,train
A-6071,c1ccc(-n2nc3ccccc3n2)cc1,train
A-5560,c1ccccc1,train
A-5741,ACYCLIC_A-5741,train
B-3582,c1ccc2c(c1)ccc1c3ccccc3ccc21,train
C-2394,c1ccc(Oc2ccccc2)cc1,train
H-447,c1ccc(-c2ccccc2)cc1,train
B-3585,c1ccc2c(c1)Cc1cc3ccccc3cc1-2,train
A-5624,O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)C1=Cc2ccccc2/C(=N/Nc2ccccc2)C1=O,train
C-2322,O=c1[nH]c(=O)c2[nH]c(/C=C/c3ccccc3)nc2[nH]1,train
A-2804,c1ccccc1,train
A-5839,O=C(CN=Nc1ccccc1)Nc1ccc2[nH]c(=O)[nH]c2c1,train
B-1611,ACYCLIC_B-1611,train
B-867,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13,train
C-1069,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,train
A-5998,O=C1NC(=O)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)NC5=O,train
C-2381,c1ccc(Oc2ccccc2)cc1,train
C-874,c1ccc(-c2ccccc2)cc1,train
A-6059,O=c1c2ccccc2nc2n1N=C/C2=N\Nc1ccccc1,train
A-5547,ACYCLIC_A-5547,train
B-2956,c1ccc(-c2ccccc2)cc1,train
A-2277,ACYCLIC_A-2277,train
A-2293,O=C1NC(=O)c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)NC5=O,train
A-5941,O=c1ccc(N=Nc2ccccc2)c[nH]1,train
C-1481,c1ccc(Oc2ccccc2)cc1,train
B-1151,ACYCLIC_B-1151,train
B-3563,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,train
B-476,c1ccccc1,train
B-455,c1ccccc1,train
B-2770,c1ccc(-c2ccccc2)cc1,train
F-460,c1ccccc1,train
C-1483,c1ccc(Oc2ccccc2)cc1,train
B-3214,c1ccc(-c2ccccc2)cc1,train
B-3583,c1ccc2c(c1)ccc1cc3ccc4ccccc4c3cc12,train
A-1890,ACYCLIC_A-1890,train
B-4427,c1ccc2c(c1)Oc1ccccc1O2,train
A-5663,O=C1C=C/C(=N/Nc2ccccc2)C(=O)N1,train
A-6038,O=C(OOC(=O)c1ccccc1)c1ccccc1,train
B-863,c1ccc2c(c1)ccc1ccc3ccccc3c12,train
A-2796,O=c1oc2ccccc2cc1-c1nc2ccccc2s1,train
A-2775,O=C(c1ccccc1)c1ccccc1,train
A-5920,O=c1c2ccccc2[nH]c2cc3c(=O)c4ccccc4[nH]c3cc12,train
A-5668,O=c1c2ccccc2[nH]c2cc3c(=O)c4ccccc4[nH]c3cc12,train
A-6050,ACYCLIC_A-6050,train
A-3018,c1ccccc1,train
A-2319,c1ccccc1,train
B-866,c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12,train
B-884,ACYCLIC_B-884,train
C-794,c1ccc(-c2ccccc2)cc1,train
A-5755,O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)C1=Cc2ccccc2/C(=N/Nc2ccccc2)C1=O,train
B-1932,O=c1ccocc1,train
A-2790,O=c1c2ccccc2c(=O)c2c1ccc1[nH]c3c(ccc4c(=O)c5ccccc5c(=O)c43)[nH]c12,train
A-5818,O=C1c2ccccc2C(=O)c2cc(Oc3ccccc3)c(Oc3ccccc3)cc21,train
A-5866,O=C(CN=Nc1ccccc1)Nc1ccc2[nH]c(=O)[nH]c2c1,train
A-3306,ACYCLIC_A-3306,train
B-2762,c1ccc(-c2ccccc2)cc1,train
C-1455,c1ccc(Oc2ccccc2)cc1,train
A-5875,O=C(CN=Nc1ccccc1)Nc1ccccc1,train
B-3580,c1ccc2cc3c4ccccc4c4ccccc4c3cc2c1,train
B-2953,c1ccc(-c2ccccc2)cc1,train
B-2814,ACYCLIC_B-2814,train
B-2753,ACYCLIC_B-2753,train
B-3213,c1ccc(-c2ccccc2)cc1,train
B-1125,O1[SiH2]O[SiH2]O[SiH2]O[SiH2]O[SiH2]O[SiH2]1,train
C-885,c1ccc(-c2ccccc2)cc1,train
G-600,ACYCLIC_G-600,train
A-2543,B12B3B4B1C234,train
B-3159,c1ccc(-c2ccccc2)cc1,train
B-2951,c1ccc(-c2ccccc2)cc1,train
C-2363,c1ccc(-c2ccccc2)cc1,train
B-3211,c1ccc(-c2ccccc2)cc1,train
H-102,c1ccc(-c2ccccc2)cc1,train
A-2267,O1[SiH2]O[SiH2]O[SiH2]O[SiH2]1,train
A-2797,C(=Cc1ccc(C=Cc2ccccc2)cc1)c1ccccc1,train
B-2898,c1ccc(-c2ccccc2)cc1,train
B-3144,c1ccc(-c2ccccc2)cc1,train
B-3401,c1ccc(Oc2cccc(CCC[SiH2]c3ccccc3)c2)cc1,train
A-5696,O=C(Nc1ccccc1)C1=Cc2ccccc2/C(=N/Nc2ccccc2)C1=O,train
C-788,c1ccc(-c2ccccc2)cc1,train
C-900,c1ccc(-c2ccccc2)cc1,train
E-208,c1ccc(-c2ccccc2)cc1,train
A-5864,O=C(CN=Nc1ccccc1)Nc1ccc2[nH]c(=O)[nH]c2c1,train
C-1000,c1ccc(-c2ccccc2)cc1,train
A-5625,O=c1c2ccc3c4c(ccc(c24)c2nc4ccccc4n12)c(=O)n1c2ccccc2nc31,train
B-298,c1ccccc1,train
A-4322,c1ccccc1,train
H-219,c1ccc(Oc2ccccc2)cc1,train
C-1441,c1ccc(Oc2ccccc2)cc1,train
A-5584,O=C(CN=Nc1ccccc1)Nc1ccccc1,train
A-2304,ACYCLIC_A-2304,train
A-5202,C1CCNCC1,train
A-5483,c1ccc(CC2CCCCC2)cc1,train
A-3502,ACYCLIC_A-3502,train
B-1126,O1[SiH2]O[SiH2]O[SiH2]O[SiH2]O[SiH2]1,train
B-2573,c1ccccc1,train
A-209,c1ccc(N2CCN(c3ccccc3)CC2)cc1,train
B-2167,c1cc2ccc3cccc4ccc(c1)c2c34,train
C-1487,c1ccc(Oc2ccccc2)cc1,train
A-2650,O=C1OC(=O)c2cccc3cccc1c23,train
C-702,c1ccc(-c2ccccc2)cc1,train
B-3210,c1ccc(-c2ccccc2)cc1,train
C-1437,c1ccc(Oc2ccccc2)cc1,train
B-530,ACYCLIC_B-530,train
C-1485,c1ccc(Oc2ccccc2)cc1,train
A-5623,O=C(CN=Nc1ccccc1)Nc1ccccc1,train
B-2955,c1ccc(-c2ccccc2)cc1,train
B-2952,c1ccc(-c2ccccc2)cc1,train
C-1021,c1ccc(-c2ccccc2)cc1,train
A-5282,ACYCLIC_A-5282,train
A-3447,ACYCLIC_A-3447,train
B-2957,c1ccc(-c2ccccc2)cc1,train
B-1841,ACYCLIC_B-1841,train
H-215,c1ccc(-c2ccccc2)cc1,train
C-1685,ACYCLIC_C-1685,train
A-1893,O1[SiH2]O[SiH2]O[SiH2]1,train
B-527,ACYCLIC_B-527,train
B-2932,c1ccc(-c2ccccc2)cc1,train
A-2312,c1ccc(NCCOc2ccc(C3CCCCC3)cc2)cc1,train
C-2362,c1ccc(-c2ccccc2)cc1,train
E-203,c1ccc(-c2ccccc2)cc1,train
H-232,c1ccc(-c2ccccc2)cc1,train
A-6081,ACYCLIC_A-6081,train
B-1429,ACYCLIC_B-1429,train
A-2270,c1ccc2c(c1)[nH]c1ccccc12,train
A-2253,O=C(OOC(=O)c1ccccc1)c1ccccc1,train
B-2873,c1ccc(-c2ccccc2)cc1,train
B-2744,O=C(NC1CCCOC1)c1ccccc1,train
A-5847,C1CCCCCCCCCCC1,train
B-893,ACYCLIC_B-893,train
B-2397,ACYCLIC_B-2397,train
A-2664,ACYCLIC_A-2664,train
B-696,O=C(NCCNC(=O)N1CCOCC1)N1CCOCC1,train
A-2335,C1NCNCNCN1,train
A-2217,O=c1[nH]ncn1-c1ccc(N2CCN(c3ccccc3)CC2)cc1,train
C-2243,c1ccc(Oc2ccccc2)cc1,train
D-16,ACYCLIC_D-16,train
C-992,c1ccc(-c2ccccc2)cc1,train
B-3207,c1ccc(-c2ccccc2)cc1,train
B-3072,c1ccc(-c2ccccc2)cc1,train
B-870,c1ccc2c3c(ccc2c1)Sc1ccc2ccccc2c1N3,train
B-2107,O=P(Oc1ccccc1)(N1CCOCC1)N1CCOCC1,train
B-1006,c1cncc([C@@H]2CCCCN2)c1,train
B-694,c1cn[nH]c1,train
A-5896,O=C(Nc1ccccc1)C1=Cc2ccccc2/C(=N/Nc2ccccc2)C1=O,train
C-1488,c1ccc(Oc2ccccc2)cc1,train
G-964,c1ccc2c(c1)ccc1c2ccc2c3ccccc3ccc21,train
C-2313,c1ccc(Oc2ccccc2)cc1,train
A-5829,O=C(CN=Nc1ccccc1)Nc1ccccc1,train
A-2814,c1ccccc1,train
A-5555,c1ccc2sc(SNSc3nc4ccccc4s3)nc2c1,train
B-4093,c1ccc(-c2ccccc2)cc1,train
B-1511,ACYCLIC_B-1511,train
B-359,c1ccc2nc3ccccc3cc2c1,train
B-2766,c1ccc(-c2ccccc2)cc1,train
B-2950,c1ccc(-c2ccccc2)cc1,train
H-491,c1ccc2c(c1)Oc1ccccc1O2,train
B-4130,c1ccc(-c2ccccc2)cc1,train
C-814,c1ccc2c(c1)Oc1ccccc1O2,train
C-840,c1ccccc1,train
B-854,ACYCLIC_B-854,train
A-5747,O=c1c2ccccc2c2ccc3sc4ccccc4c4ccc1c2c34,train
A-5928,c1ccc(Nc2cccc3ccccc23)cc1,train
B-1654,c1ccc(C(c2ccccc2)(c2ccccc2)N2CCOCC2)cc1,train
C-2303,c1ccc(Oc2ccccc2)cc1,train
A-3000,c1ccccc1,train
A-5693,c1ccccc1,train
A-2258,c1ccccc1,train
A-2259,c1ccccc1,train
H-231,c1ccccc1,train
B-1230,C1=CC[C@@H](c2cccnc2)NC1,train
B-2866,c1ccc(-c2ccccc2)cc1,train
B-4102,c1ccc(-c2ccccc2)cc1,train
C-2316,c1ccc(Oc2ccccc2)cc1,train
B-3109,O=C(Cc1ccccc1)OCc1cccc(Oc2ccccc2)c1,train
B-2856,c1ccc2c(c1)Oc1ccccc1O2,train
A-1974,ACYCLIC_A-1974,train
A-6074,O=c1c2ccccc2c(=O)c2c1ccc1c3ccc4c(=O)c5c(ccc6c7ccc8c(=O)c9ccccc9c(=O)c8c7[nH]c65)c(=O)c4c3[nH]c12,train
A-5196,c1ccccc1,train
A-1901,ACYCLIC_A-1901,train
C-1449,c1ccc(Oc2ccccc2)cc1,train
B-2872,c1ccc(-c2ccccc2)cc1,train
B-3048,c1ccc(-c2ccccc2)cc1,train
C-2244,O=C1C=C2CCC3C(CCC4C(OC(=O)c5ccccc5)CCC43)C2CC1,train
A-2738,O=C1C=C/C(=N/Nc2ccccc2)C(=O)N1,train
A-5901,ACYCLIC_A-5901,train
B-208,ACYCLIC_B-208,train
B-3510,O=C(Nc1ncccn1)NS(=O)(=O)Nc1ccccc1C(=O)C1CC1,train
C-2323,c1ccc(Oc2ccccc2)cc1,train
B-2760,c1ccc(-c2ccccc2)cc1,train
H-238,c1ccc(-c2ccccc2)cc1,train
C-2311,c1ccc(Oc2ccccc2)cc1,train
A-4006,ACYCLIC_A-4006,train
C-2250,c1ccc(Oc2ccccc2)cc1,train
C-2254,c1ccc(Oc2ccccc2)cc1,train
A-5552,C1CCCCC1,train
A-5276,c1ccccc1,train
B-3098,O=C(NC(=O)c1ccccc1)Nc1ccccc1,train
B-465,c1ccccc1,train
B-1512,ACYCLIC_B-1512,train
B-2963,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,train
G-560,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,train
B-4111,c1ccc(-c2ccccc2)cc1,train
B-3205,c1ccc(-c2ccccc2)cc1,train
B-3139,c1ccc(-c2ccccc2)cc1,train
A-3505,ACYCLIC_A-3505,train
C-2180,c1ccc(Nc2ccccc2)cc1,train
F-705,C1CNCCN1,train
A-4531,C1CCCCC1,train
B-3208,c1ccc(-c2ccccc2)cc1,train
B-3209,c1ccc(-c2ccccc2)cc1,train
C-1442,c1ccc(Oc2ccccc2)cc1,train
F-251,O=c1cnc2c(=O)[nH]cnc2[nH]1,train
B-3278,O=C(NC(=O)c1ccccc1)Nc1ccccc1,train
B-3013,c1ccc(-c2ccccc2)cc1,train
A-2244,O=C1C=Cc2ccccc2/C1=N/Nc1ccccc1,train
A-2594,c1ccc(-n2nc3ccccc3n2)cc1,train
B-2845,c1ccc(-c2ccccc2)cc1,train
B-2944,c1ccc(-c2ccccc2)cc1,train
B-4088,c1ccc(-c2ccccc2)cc1,train
C-818,c1ccc(-c2ccccc2)cc1,train
B-3012,c1ccc(-c2ccccc2)cc1,train
B-601,ACYCLIC_B-601,train
A-2274,O=C(CC(=O)c1ccccc1)c1ccccc1,train
A-4458,c1ccccc1,train
B-3041,c1ccc(-c2ccccc2)cc1,train
C-2062,S=C(N=Nc1ccccc1)NNc1ccccc1,train
B-2974,ACYCLIC_B-2974,train
A-5106,O=C1CCCCCN1C(=O)Nc1ccc(Cc2ccc(NC(=O)N3CCCCCC3=O)cc2)cc1,train
B-3347,O=c1cc(SCc2ccccc2)cn[nH]1,train
C-1445,c1ccc(Oc2ccccc2)cc1,train
B-167,ACYCLIC_B-167,train
B-3140,c1ccc(-c2ccccc2)cc1,train
B-3034,c1ccccc1,train
C-2571,O=C(NC(=O)c1ccccc1)Nc1ccc(Oc2ccccn2)cc1,train
B-2949,c1ccc(-c2ccccc2)cc1,train
A-5863,O=c1c2ccccc2[nH]c2cc3c(=O)c4ccccc4[nH]c3cc12,train
C-2315,c1ccc(Oc2ccccc2)cc1,train
C-2471,O=C(OCCOCn1cnc2c(=O)[nH]cnc21)c1ccccc1,train
B-661,ACYCLIC_B-661,train
B-738,ACYCLIC_B-738,train
B-1905,c1ccc(N=Nc2ccc(Nc3ccccc3)cc2)cc1,train
B-2571,ACYCLIC_B-2571,train
G-550,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,train
B-350,c1ccc2nccnc2c1,train
A-5235,C1CCNCC1,train
A-5785,O=C(Nc1ccccc1)C1=Cc2ccccc2/C(=N/Nc2ccccc2)C1=O,train
G-407,ACYCLIC_G-407,train
A-2685,C1CCOC1,train
C-2276,c1ccc(Oc2ccccc2)cc1,train
B-251,ACYCLIC_B-251,train
B-1571,ACYCLIC_B-1571,train
A-5954,O=C(CN=Nc1ccc(-c2ccc(N=NCC(=O)Nc3ccccc3)cc2)cc1)Nc1ccccc1,train
B-647,ACYCLIC_B-647,train
B-2351,ACYCLIC_B-2351,train
A-208,C1CCCCC1,train
A-2999,c1ccccc1,train
B-4128,c1ccc(-c2ccccc2)cc1,train
B-3138,c1ccc(-c2ccccc2)cc1,train
B-1521,C1COCOC1,train
A-4392,c1cn[nH]c1,train
B-3215,c1ccc(-c2ccccc2)cc1,train
A-5999,O=C1NC(=O)c2ccc3c4c2c1ccc4c(=O)n1c2ccccc2nc31,train
A-4517,ACYCLIC_A-4517,train
A-5266,S=[PH](Oc1ccccc1)Oc1ccccc1,train
D-549,ACYCLIC_D-549,train
B-1367,c1ccccc1,train
B-131,ACYCLIC_B-131,train
B-2738,c1ccc2c(c1)Cc1c-2ccc2ccccc12,train
A-4516,ACYCLIC_A-4516,train
C-2247,c1ccc(Oc2ccccc2)cc1,train
A-5666,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,train
A-5930,O=C(CCc1ccccc1)OCCNC(=O)C(=O)NCCOC(=O)CCc1ccccc1,train
F-602,c1ccccc1,train
A-5884,O=C(Nc1ccccc1)C1=Cc2ccccc2/C(=N/Nc2ccccc2)C1=O,train
A-5206,ACYCLIC_A-5206,train
B-3143,c1ccc(-c2ccccc2)cc1,train
F-805,c1ccccc1,train
A-1886,O1[SiH]O[SiH]O[SiH]O[SiH]O[SiH]1,train
B-2337,ACYCLIC_B-2337,train
B-2025,c1cc[nH+]cc1,train
C-961,c1ccc(-c2ccccc2)cc1,train
B-3429,C(=N\OCc1ccccc1)/c1cn[nH]c1Oc1ccccc1,train
B-3047,c1ccc(-c2ccccc2)cc1,train
A-6040,O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1CCc1ccccc1)c64)C(=O)N(CCc1ccccc1)C5=O,train
A-5429,C1COCCN1,train
A-5363,C1CCNCC1,train
B-184,ACYCLIC_B-184,train
C-2253,c1ccc(Oc2ccccc2)cc1,train
B-199,ACYCLIC_B-199,train
B-655,ACYCLIC_B-655,train
C-2196,c1ccc(Oc2ccccc2)cc1,train
A-5331,c1cn[nH]c1,train
B-570,c1cnccn1,train
B-1351,ACYCLIC_B-1351,train
A-2184,O=c1cc(-c2ccccc2)oc2ccccc12,train
C-2008,O=c1[nH]c(=O)c2[nH]c(=O)c(=O)[nH]c2[nH]1,train
B-3203,c1ccc(-c2ccccc2)cc1,train
B-257,ACYCLIC_B-257,train
A-2801,ACYCLIC_A-2801,train
A-2798,O=C(CN=Nc1ccc(-c2ccc(N=NCC(=O)Nc3ccccc3)cc2)cc1)Nc1ccccc1,train
B-832,ACYCLIC_B-832,train
A-4526,ACYCLIC_A-4526,train
B-413,c1ccoc1,train
B-2667,ACYCLIC_B-2667,train
B-1555,O=C1CCCCCCCN1,train
A-5842,O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)C1=Cc2ccccc2/C(=N/Nc2ccccc2)C1=O,train
B-242,ACYCLIC_B-242,train
B-2947,c1ccc(-c2ccccc2)cc1,train
A-1884,c1ccoc1,train
B-4262,ACYCLIC_B-4262,train
H-426,c1ccc(-c2ccccc2)cc1,train
C-2245,c1ccc(Oc2ccccc2)cc1,train
C-2251,c1ccc(Oc2ccccc2)cc1,train
B-848,c1ccccc1,train
B-1675,ACYCLIC_B-1675,train
B-993,O=c1cccc2n1C[C@@H]1CNC[C@@H]2C1,train
A-2180,ACYCLIC_A-2180,train
B-1025,C1COC1,train
A-196,c1ccc(-c2ccccc2)cc1,train
A-5526,ACYCLIC_A-5526,train
B-2862,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,train
B-1027,ACYCLIC_B-1027,train
A-5355,O=C1CCNCC1,train
B-645,ACYCLIC_B-645,train
A-4538,O=C1CCCCO1,train
B-4085,c1ccc(-c2ccccc2)cc1,train
A-3357,C1CCNCC1,train
A-5849,O=C(c1ccccc1)c1ccccc1,train
A-2854,C1CCCCC1,train
B-2238,c1ccccc1,train
C-1447,c1ccc(Oc2ccccc2)cc1,train
A-6062,C1=CCCCC1,train
B-4260,ACYCLIC_B-4260,train
A-3313,c1ccccc1,train
F-409,O=C(NC(=O)c1ccccc1)Nc1ccccc1,train
A-4545,ACYCLIC_A-4545,train
C-225,ACYCLIC_C-225,train
A-5553,C1CCC2CCCCC2C1,train
A-5742,O=C(Nc1ccccc1)C1=Cc2ccccc2/C(=N/Nc2cccc(C(=O)Nc3ccccc3)c2)C1=O,train
B-2432,c1ccccc1,train
A-2183,O=C(CN=Nc1ccccc1)Nc1ccc2[nH]c(=O)[nH]c2c1,train
B-1578,c1cc[nH+]cc1,train
A-5312,ACYCLIC_A-5312,train
B-471,c1ccccc1,train
B-881,c1cncnc1,train
B-880,c1ccnnc1,train
A-4549,ACYCLIC_A-4549,train
C-2262,c1ccc(Oc2ccccc2)cc1,train
B-2679,c1ccc(-c2ccccc2)cc1,train
C-45,ACYCLIC_C-45,train
B-3142,c1ccc(-c2ccccc2)cc1,train
C-1453,c1ccc(Oc2ccccc2)cc1,train
C-1065,O=C(NC(=O)c1ccccc1)Nc1ccc(Oc2ccccc2)cc1,train
C-2269,c1ccc(Oc2ccccc2)cc1,train
A-2760,c1ccc(N=Nc2snc3ccccc23)cc1,train
A-4522,c1ccccc1,train
A-5530,ACYCLIC_A-5530,train
B-2031,C1CCCC1,train
A-1885,ACYCLIC_A-1885,train
A-5277,C1CC2OCCC2O1,train
F-706,C1CNCCN1,train
B-2861,c1ccc(-c2ccccc2)cc1,train
C-998,O=c1ccc(N=Nc2ccccc2)c[nH]1,train
C-2368,O=c1[nH]c(=O)c2[nH]c(/C=C/c3ccccc3)nc2[nH]1,train
A-5315,c1c[nH]cn1,train
A-1887,ACYCLIC_A-1887,train
A-204,c1ccccc1,train
B-2364,ACYCLIC_B-2364,train
B-4113,c1ccc(-c2ccccc2)cc1,train
B-1007,c1ccccc1,train
B-444,C1CCOCC1,train
B-171,ACYCLIC_B-171,train
B-4307,ACYCLIC_B-4307,train
B-526,ACYCLIC_B-526,train
B-3133,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,train
B-515,ACYCLIC_B-515,train
A-3991,ACYCLIC_A-3991,train
A-6027,ACYCLIC_A-6027,train
B-1517,ACYCLIC_B-1517,train
B-946,c1ccccc1,train
A-2176,O=C(CN=Nc1ccccc1)Nc1ccc2[nH]c(=O)[nH]c2c1,train
B-4165,ACYCLIC_B-4165,train
B-3104,c1ccc(-c2ccccc2)cc1,train
A-1712,c1ncnc(Nc2ncncn2)n1,train
A-6014,O=C1C=CC(=NNc2ccc(N=Nc3ccccc3)cc2)C=C1,train
A-3169,O=C1CCCCCN1,train
B-1400,O=c1cc[nH]cc1,train
B-822,O=c1cccc[nH]1,train
C-1450,c1ccc(Oc2ccccc2)cc1,train
B-4123,c1ccc(-c2ccccc2)cc1,train
C-2266,c1ccc(Oc2ccccc2)cc1,train
B-2918,c1ccccc1,train
C-718,c1ccc(-c2ccccc2)cc1,train
B-190,ACYCLIC_B-190,train
C-2158,c1ccc(Oc2ccccc2)cc1,train
B-932,ACYCLIC_B-932,train
B-1472,O=c1cccc[nH]1,train
C-824,O=C1C=C(CC2CCCCC2)C(=O)c2ccccc21,train
B-2842,c1ccc(-c2ccccc2)cc1,train
B-4268,c1cc[nH+]cc1,train
B-3625,c1ccccc1,train
A-2298,ACYCLIC_A-2298,train
B-3168,c1ccc(-c2ccccc2)cc1,train
B-2771,c1ccc(-c2ccccc2)cc1,train
A-5320,C1COCCN1,train
A-5100,O=C1c2c(cnn2-c2ccccc2)CCN1c1ccccc1,train
B-2948,c1ccc(-c2ccccc2)cc1,train
A-4511,ACYCLIC_A-4511,train
B-112,C1=CCNCC1,train
B-2786,ACYCLIC_B-2786,train
B-2137,c1ccccc1,train
A-3943,ACYCLIC_A-3943,train
A-5318,ACYCLIC_A-5318,train
A-3137,ACYCLIC_A-3137,train
A-3005,ACYCLIC_A-3005,train
C-1410,c1ccc(Oc2ccccc2)cc1,train
B-2369,ACYCLIC_B-2369,train
A-2622,C1CCOC1,train
A-3078,c1ccccc1,train
A-5308,O=C1NCCCN1,train
B-445,C1COCCN1,train
B-4074,c1ccc(-c2ccccc2)cc1,train
A-5305,C1COCOC1,train
C-1860,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,train
A-5909,O=C(CN=Nc1ccc(C(=O)Nc2ccccc2)cc1)Nc1ccc2[nH]c(=O)[nH]c2c1,train
C-2159,c1ccc(Oc2ccccc2)cc1,train
B-4115,c1ccc(-c2ccccc2)cc1,train
B-3581,c1ccc2c(c1)c1ccccc1c1ccccc21,train
B-437,ACYCLIC_B-437,train
C-2260,c1ccc(Oc2ccccc2)cc1,train
A-2231,c1ccc(COc2ccc3ccccc3c2)cc1,train
A-6063,C1=CCCCC1,train
B-2658,c1ccccc1,train
B-927,ACYCLIC_B-927,train
A-2245,ACYCLIC_A-2245,train
B-3123,C(=C\c1ccccc1)/C(/C=C/c1ccccc1)=NNC1=NCCCN1,train
B-296,O=C(Oc1ccccc1)c1ccccc1C(=O)Oc1ccccc1,train
B-3122,O=C(OCc1cccc(Oc2ccccc2)c1)C1CC1,train
C-2324,c1ccc(Oc2ccccc2)cc1,train
F-534,O=C(OCC=Cc1ccccc1)c1ccccc1,train
B-1432,ACYCLIC_B-1432,train
C-2255,c1ccc(Oc2ccccc2)cc1,train
A-5445,ACYCLIC_A-5445,train
B-838,ACYCLIC_B-838,train
B-255,ACYCLIC_B-255,train
