ID,observed_solubility,mean_prediction,prediction_sd,prediction_range,n_predictions,residual,absolute_error,rdkit_molwt,rdkit_mollogp,rdkit_ring_count,rdkit_aromatic_rings,rdkit_rotatable_bonds,rdkit_fraction_csp3,observed_solubility_region,uncertainty_rank,error_rank
C-2008,-4.06,-3.3184574124418145,0.9438632519677678,1.334824211958391,2,-0.7415425875581851,0.7415425875581851,196.122,-2.4070000000000005,2,2,0,0.0,-6 to < -4,20.0,3504.0
F-762,-3.29,-3.342222280866942,0.9305515279231829,2.1905554115436825,4,0.05222228086694214,0.05222228086694214,270.3,-0.3692599999999992,2,1,2,0.0,-4 to < -2,21.0,7797.0
A-2493,-6.9187336597,-6.353015440509606,0.9117996054281229,1.755980577584955,3,-0.5657182191903942,0.5657182191903942,414.67100000000016,6.704700000000009,0,0,23,0.96,< -6,22.0,4396.0
A-1345,-3.8454729507,-2.062966870057309,0.8988703134208713,1.271194588054351,2,-1.782506080642691,1.782506080642691,154.13299999999998,-0.3789000000000002,1,1,1,0.0,-4 to < -2,23.0,799.0
A-4918,-3.3623020198,-4.959888353939465,0.8963003315743665,1.7481165224426203,3,1.5975863341394647,1.5975863341394647,322.4260000000001,5.552800000000006,0,0,14,1.0,-4 to < -2,24.0,1041.0
C-1619,-6.150000000000001,-5.766266798251578,0.8844324712003577,1.648594515686617,3,-0.3837332017484236,0.3837332017484236,310.522,6.934600000000008,0,0,17,0.85,< -6,25.0,5499.0
A-2455,-4.7267916006,-4.549407137090633,0.8755133698466784,1.6836961885150248,3,-0.17738446350936776,0.17738446350936776,330.509,4.364100000000005,0,0,17,0.9473684210526316,-6 to < -4,26.0,6870.0
B-894,1.4942,-0.9194419486993612,0.854912439320183,1.6396612676832627,3,2.413641948699361,2.413641948699361,32.046,-1.1812,0,0,0,0.0,0 to < 2,27.0,364.0
B-1738,-1.5701,-1.4367183611041145,0.834050673127589,1.1795257736434455,2,-0.1333816388958855,0.1333816388958855,297.271,-2.8334999999999986,3,2,3,0.5454545454545454,-2 to < 0,28.0,7196.0
B-31,0.0018,-1.0141122911557556,0.8333491430216395,1.1785336602531986,2,1.0159122911557557,1.0159122911557557,189.224,0.1577000000000001,3,0,3,1.0,0 to < 2,29.0,2401.0
A-2046,-5.5152815814,-5.451821458152999,0.830766381230602,1.5291145962576973,3,-0.06346012324700112,0.06346012324700112,327.553,5.356400000000005,0,0,18,0.95,-6 to < -4,30.0,7711.0
E-866,-0.17,-2.271496445387329,0.8012599483713563,1.133152685973138,2,2.1014964453873293,2.1014964453873293,254.246,-2.213099999999999,2,2,3,0.5,-2 to < 0,31.0,515.0
A-4771,-2.8821848863999997,-3.525026882216519,0.8012537154836464,1.402113960438474,3,0.6428419958165192,0.6428419958165192,434.57000000000033,3.299800000000002,0,0,23,0.9090909090909092,-4 to < -2,32.0,3994.0
A-2106,-5.7752741917,-5.220974023606808,0.8008314860327407,1.581094354898811,3,-0.5543001680931923,0.5543001680931923,357.62300000000005,5.534500000000007,0,0,21,1.0,-6 to < -4,33.0,4467.0
A-4305,-1.3016357757,-2.4927515133653175,0.7924729471563917,1.45771314624404,3,1.1911157376653174,1.1911157376653174,336.4690000000001,2.643700000000001,0,0,20,1.0,-2 to < 0,34.0,1881.0
A-1114,-5.0206378696,-5.700149435793065,0.7893321050472053,1.5773389964843316,3,0.6795115661930655,0.6795115661930655,356.5470000000002,5.531800000000006,0,0,14,0.9047619047619048,-6 to < -4,35.0,3785.0
A-2714,-6.8304564998999995,-1.3193583723309539,0.7867891291046472,1.5213712348512358,3,-5.511098127569046,5.511098127569046,338.39700000000005,-1.3292999999999988,0,0,14,0.9333333333333332,< -6,36.0,10.0
A-5530,-8.1906449159,-7.209390619340684,0.7779683922406592,1.5558327823028,3,-0.9812542965593165,0.9812542965593165,432.76200000000034,7.233200000000009,0,0,20,1.0,< -6,37.0,2524.0
A-2626,-6.356030958999999,-5.66960151328811,0.7669389724564147,1.5088381975075524,3,-0.6864294457118891,0.6864294457118891,340.5040000000002,5.350000000000006,0,0,16,0.8,< -6,38.0,3760.0
B-1424,-6.3476,-5.747068870686658,0.7636360299235818,1.4895214486132193,3,-0.6005311293133415,0.6005311293133415,228.41999999999996,5.069900000000006,0,0,13,1.0,< -6,39.0,4184.0
B-4495,-2.3788,-2.2652114703545774,0.7604741703934259,1.8043615931523893,5,-0.11358852964542265,0.11358852964542265,136.11399999999998,-0.4022000000000001,2,0,0,0.0,-4 to < -2,40.0,7329.0
A-4957,-3.6312456143999996,-5.372652360660601,0.7594530840570048,1.3769745492312344,3,1.7414067462606018,1.7414067462606018,269.5169999999999,6.206600000000005,0,0,16,1.0,-4 to < -2,41.0,845.0
A-2745,-6.9799366685,-5.639121805530375,0.7576248678938932,1.4568562319153644,3,-1.3408148629696246,1.3408148629696246,286.456,5.572400000000006,0,0,12,0.9411764705882352,< -6,42.0,1530.0
A-2702,-6.8994921961,-6.733068698125128,0.7565731817361124,1.428782434761545,3,-0.166423497974872,0.166423497974872,396.7000000000003,9.151600000000002,0,0,23,0.9615384615384616,< -6,43.0,6967.0
H-245,-10.66,-8.65934801706546,0.7534283243334035,1.499951762255873,3,-2.0006519829345404,2.0006519829345404,374.86500000000007,7.5064,3,3,0,0.0,< -6,44.0,592.0
C-2439,-10.3,-8.65934801706546,0.7534283243334035,1.499951762255873,3,-1.640651982934541,1.640651982934541,374.865,7.5064,3,3,0,0.0,< -6,44.0,985.0
B-655,-8.1724,-6.299993566017889,0.743313444992449,1.3602555512613312,3,-1.8724064339821105,1.8724064339821105,282.5559999999999,8.048000000000007,0,0,17,1.0,< -6,46.0,702.0
B-3124,-11.481699999999998,-8.688705979098737,0.7384833138254564,1.4702199728231138,3,-2.7929940209012614,2.7929940209012614,409.31000000000006,8.159799999999999,3,3,0,0.0,< -6,47.0,213.0
B-4428,-10.9486,-8.845634106106058,0.7367777369918813,1.6400857956810508,4,-2.102965893893943,2.102965893893943,390.86400000000015,7.505000000000001,3,2,0,0.0,< -6,48.0,512.0
A-1002,-6.4511045339,-6.283407755631735,0.7352472701741859,1.3598986413490222,3,-0.16769677826826435,0.16769677826826435,282.556,7.903900000000008,0,0,16,1.0,< -6,49.0,6954.0
B-1830,-9.703,-9.600065583176889,0.7348978546494835,1.538085998729949,4,-0.10293441682311055,0.10293441682311055,403.734,8.067,2,2,0,0.0,< -6,50.0,7414.0
A-4534,1.3463919758000003,-0.48604722713069454,0.7345260261121638,1.386432181914125,3,1.8324392029306948,1.8324392029306948,45.041,-0.8985000000000001,0,0,0,0.0,0 to < 2,51.0,735.0
A-5456,-3.3974324561999993,-4.487494393286408,0.7328930683886639,1.401498691369945,3,1.0900619370864084,1.0900619370864084,374.562,4.115100000000004,0,0,19,0.9523809523809524,-4 to < -2,52.0,2158.0
A-2607,-5.6698930776,-3.3131716119377366,0.7325367395757466,1.4602806341729204,3,-2.3567214656622637,2.3567214656622637,140.286,-2.4172,13,0,0,0.0,-6 to < -4,53.0,393.0
A-6040,-8.4761487948,-5.646167008918721,0.7259034407647346,1.4384172812462142,3,-2.8299817858812792,2.8299817858812792,598.6580000000001,7.414600000000006,9,7,6,0.1,< -6,54.0,197.0
A-5458,-3.7440777388,-4.632829477200577,0.7232361314086073,1.0228103458363025,2,0.8887517384005768,0.8887517384005768,554.7250000000003,3.443100000000003,2,0,16,0.8620689655172413,-4 to < -2,55.0,2870.0
A-5578,-6.813060611,-8.460397724015674,0.7220913665746544,1.0211914038823986,2,1.6473371130156744,1.6473371130156744,604.7050000000002,9.868199999999996,4,2,4,0.6363636363636364,< -6,56.0,975.0
B-1368,-4.0326,-5.22619571474602,0.7128623673643163,1.2530433065294924,3,1.1935957147460199,1.1935957147460199,227.43599999999995,4.859000000000005,0,0,12,1.0,-6 to < -4,57.0,1875.0
A-1382,-1.8076460763,-1.4947263497121972,0.7079641901037375,1.3942274286467158,3,-0.31291972658780276,0.31291972658780276,129.075,-2.2485000000000004,1,1,0,0.0,-2 to < 0,58.0,5974.0
B-2750,-8.775,-9.269681499719024,0.7042935249303799,1.660147852382254,4,0.4946814997190234,0.4946814997190234,369.2890000000001,7.4136,2,2,0,0.0,< -6,59.0,4845.0
A-6048,-7.7273960926,-8.662437824459811,0.6974284317007625,0.9863127468958162,2,0.935041731859811,0.935041731859811,693.9680000000001,9.425399999999996,6,4,2,0.0384615384615384,< -6,60.0,2691.0
A-2645,-6.4720818187,-6.379725193165669,0.6933249081395718,1.2090355574828546,3,-0.09235662553433155,0.09235662553433155,296.539,7.408000000000007,0,0,18,0.9,< -6,61.0,7489.0
B-1982,-4.1009,-5.355024760491539,0.6886110515541541,1.358337422371326,3,1.254124760491539,1.254124760491539,378.4330000000002,5.158400000000005,0,0,14,1.0,-6 to < -4,62.0,1738.0
A-2173,-6.4612511717,-7.307813128023402,0.6841803756362133,1.339784245921873,3,0.8465619563234021,0.8465619563234021,665.2410000000002,8.580400000000006,7,7,12,0.1707317073170731,< -6,63.0,3035.0
B-2717,-6.7708,-5.668424097355049,0.6812355752799254,1.3491289527264385,3,-1.1023759026449511,1.1023759026449511,242.44699999999995,5.458400000000006,0,0,13,1.0,< -6,64.0,2116.0
A-6020,-6.975819717300001,-5.526672107798109,0.6794783509375035,1.3481966042181774,3,-1.4491476095018925,1.4491476095018925,340.5040000000002,5.061800000000005,0,0,14,0.8,< -6,65.0,1293.0
A-2025,-5.4565752567,-5.526672107798109,0.6794783509375035,1.3481966042181774,3,0.07009685109810881,0.07009685109810881,340.5040000000002,5.061800000000005,0,0,14,0.8,-6 to < -4,65.0,7649.0
A-326,-1.4593774078,-4.075391455040843,0.6762967536538979,1.351750144864675,3,2.616014047240843,2.616014047240843,230.39199999999997,3.916200000000003,0,0,13,1.0,-2 to < 0,67.0,266.0
A-2115,-5.8326804614,-5.763782576189751,0.6753512121399329,1.2991455683226638,3,-0.06889788521024887,0.06889788521024887,364.6240000000002,5.045200000000005,0,0,16,0.9411764705882352,-6 to < -4,68.0,7663.0
A-2420,-5.0665338896,-5.012737212382351,0.6745476195498176,0.9539543920338387,2,-0.05379667721764836,0.05379667721764836,582.7790000000003,3.935100000000004,2,0,16,0.8709677419354839,-6 to < -4,69.0,7786.0
A-2335,-4.8251168095,-0.7788035614982066,0.6706503854718717,1.238315340454793,3,-4.046313248001793,4.046313248001793,296.156,-2.195199999999998,1,0,4,1.0,-6 to < -4,70.0,41.0
A-2623,-6.256077615900001,-4.801178558787716,0.6640909002861074,1.2654202236975864,3,-1.4548990571122848,1.4548990571122848,270.50099999999986,6.096100000000007,0,0,15,1.0,< -6,71.0,1279.0
A-2379,-4.6524349135000005,-4.801178558787716,0.6640909002861074,1.2654202236975864,3,0.14874364528771533,0.14874364528771533,269.51699999999994,6.029300000000006,0,0,15,1.0,-6 to < -4,71.0,7085.0
A-2732,-6.709998828,-5.647696993196095,0.6606934037797699,1.2553655226269385,3,-1.0623018348039048,1.0623018348039048,256.4299999999999,5.250600000000006,0,0,13,0.9375,< -6,73.0,2252.0
B-2819,-0.23549999999999996,-1.1623293531369845,0.6581056380499916,1.163516150928695,3,0.9268293531369846,0.9268293531369846,244.207,-3.0114999999999994,2,1,3,0.625,-2 to < 0,74.0,2727.0
B-2822,0.3032,-0.3658378226518189,0.6572328773669537,0.9294676488098391,2,0.669037822651819,0.669037822651819,497.49400000000014,-6.752699999999988,3,0,7,0.9,0 to < 2,75.0,3839.0
A-5853,-7.5095589026,-6.139850977663507,0.6534922272067457,0.9241775706211799,2,-1.3697079249364936,1.3697079249364936,501.061,5.750900000000004,2,0,8,0.7647058823529411,< -6,76.0,1454.0
A-4537,1.3365535082,0.558728625720633,0.6533040042512102,1.2070095983140143,3,0.777824882479367,0.777824882479367,46.073,-0.9205,0,0,0,1.0,0 to < 2,77.0,3342.0
B-1945,-1.7166,-4.782829757124984,0.6463771318298132,1.1670630600539242,3,3.066229757124984,3.066229757124984,234.3199999999999,4.6814000000000044,0,0,10,1.0,-2 to < 0,78.0,142.0
A-3306,0.2865181043,-3.213413711825204,0.6433085011249728,1.2766278518401961,3,3.499931816125204,3.499931816125204,351.55300000000005,2.889800000000001,0,0,15,1.0,0 to < 2,79.0,88.0
A-2553,-5.3846168146,-5.489210691781196,0.6407065596974755,1.2586757296972202,3,0.10459387718119562,0.10459387718119562,242.44699999999992,5.315900000000005,0,0,13,1.0,-6 to < -4,80.0,7399.0
A-5529,-7.835715931,-5.3545264745654535,0.6402256578338343,1.2804321874041555,3,-2.4811894564345467,2.4811894564345467,342.5200000000001,5.285800000000005,0,0,15,0.9,< -6,81.0,325.0
C-2584,-2.37,-2.3130906043560557,0.6401457428164609,1.4280522845097736,4,-0.05690939564394437,0.05690939564394437,817.0419999999996,1.1787000000000047,2,2,26,0.6585365853658537,-4 to < -2,82.0,7755.0
A-1199,-3.9356925608,-5.491903707458779,0.6371834020012918,1.2505966826644688,3,1.5562111466587791,1.5562111466587791,241.46299999999997,5.249100000000005,0,0,13,1.0,-4 to < -2,83.0,1104.0
A-2458,-3.8458307588,-4.423041867480198,0.6371418701242301,0.9010546738854432,2,0.5772111086801983,0.5772111086801983,350.59100000000007,5.730300000000007,1,0,17,0.8636363636363636,-4 to < -2,84.0,4309.0
A-199,-7.5558815137,-5.9729562820757325,0.6324065941434996,0.8943579823719148,2,-1.5829252316242677,1.5829252316242677,899.1279999999997,5.911600000000007,8,0,7,0.78,< -6,85.0,1064.0
A-2000,-5.647161854,-5.72833067509617,0.6322373836328348,1.2910283756226058,4,0.08116882109616963,0.08116882109616963,665.6610000000003,6.754900000000005,9,9,4,0.0,-6 to < -4,86.0,7577.0
B-70,-6.8644,-6.508113711741149,0.6275093434101612,1.5263753131952367,4,-0.35628628825885045,0.35628628825885045,409.7819999999999,5.682800000000001,3,0,0,0.8,< -6,87.0,5689.0
A-2757,-7.4761487948,-5.791834878046224,0.6255120871220545,0.8846076770363105,2,-1.6843139167537764,1.6843139167537764,598.6580000000001,8.572080000000001,9,7,2,0.1,< -6,88.0,920.0
A-2584,-5.4321688749999995,-5.562216643730369,0.6245923983057786,1.124701816064146,3,0.13004776873036938,0.13004776873036938,270.50099999999986,6.240200000000008,0,0,16,1.0,-6 to < -4,89.0,7217.0
A-5310,0.8470942954,-0.9828398458477572,0.6232691034266463,0.8814356190740825,2,1.8299341412477572,1.8299341412477572,142.202,-1.0214999999999987,3,0,1,1.0,0 to < 2,90.0,741.0
D-1387,0.179,-0.6822809375669433,0.6222246497339122,0.8799585384965474,2,0.8612809375669432,0.8612809375669432,192.167,-2.3214,1,0,1,0.8571428571428571,0 to < 2,91.0,2980.0
A-2710,-6.733128222,-5.792896595614404,0.6211199658728104,1.1551492785060722,3,-0.9402316263855965,0.9402316263855965,270.45699999999994,5.496600000000005,0,0,13,0.9411764705882352,< -6,92.0,2670.0
A-676,-4.7801182897,-5.192806724529206,0.6207304974709626,1.1782284255919517,3,0.4126884348292066,0.4126884348292066,355.6070000000001,5.310500000000006,0,0,20,0.9090909090909092,-6 to < -4,93.0,5338.0
A-861,-4.7309406924,-4.791517340657188,0.6190030387284847,1.217556937057891,3,0.06057664825718767,0.06057664825718767,260.4869999999999,4.877200000000005,0,0,10,1.0,-6 to < -4,94.0,7729.0
F-410,-0.46,-1.3435075254275057,0.6173544874163661,1.2872061583853374,4,0.8835075254275058,0.8835075254275058,216.222,-2.1851000000000003,1,0,1,0.3333333333333333,-2 to < 0,95.0,2891.0
A-6088,-8.848512616699999,-6.996893456148895,0.6149091001168298,0.8696127890118559,2,-1.8516191605511043,1.8516191605511043,570.7700000000002,8.852300000000003,4,3,3,0.4594594594594595,< -6,96.0,721.0
A-1153,-3.0495421403,-2.932311709040666,0.6140067004832636,1.091752136790289,3,-0.11723043125933374,0.11723043125933374,328.4050000000001,2.2844000000000007,0,0,14,0.6470588235294118,-4 to < -2,97.0,7304.0
A-5034,-4.2367225564,-5.304432414422809,0.6084542324932263,1.21667263231359,3,1.067709858022809,1.067709858022809,241.46299999999997,5.008800000000004,0,0,12,1.0,-6 to < -4,98.0,2230.0
B-2700,-5.2239,-7.137222713536509,0.6012611609973594,0.8503116884106587,2,1.913322713536509,1.913322713536509,368.369,6.454900000000006,3,3,7,0.1428571428571428,-6 to < -4,99.0,665.0
B-273,-3.3682,-4.781810093681041,0.5993623845898733,0.8476264130632778,2,1.413610093681041,1.413610093681041,408.5790000000002,3.4487000000000023,4,0,4,0.9583333333333334,-4 to < -2,100.0,1358.0
