ID,SMILES,scaffold,Solubility,rdkit_molwt,rdkit_mollogp,rdkit_ring_count,rdkit_aromatic_rings,rdkit_rotatable_bonds,rdkit_fraction_csp3,repetition,seed,predicted_solubility,residual,absolute_error,squared_error,prediction_error_direction,train_size,test_size,test_scaffold_count,error_type
A-4322,CCCCCCCCCc1ccc(OCCOCCO)cc1,c1ccccc1,-0.3045102393,308.462,4.367400000000004,1,1,14,0.6842105263157895,7,106,-5.107455546806581,4.802945307506581,4.802945307506581,23.06828362689949,underprediction,6769,1874,105,largest_underprediction
A-4322,CCCCCCCCCc1ccc(OCCOCCO)cc1,c1ccccc1,-0.3045102393,308.462,4.367400000000004,1,1,14,0.6842105263157895,10,109,-5.064865833993,4.760355594693,4.760355594693,22.66098538792495,underprediction,6511,2132,163,largest_underprediction
B-2814,CCCCCCC(CC=CCCCCCCCC(O)=O)O[S](O)(=O)=O,,-0.5781,378.531,4.906400000000003,0,0,17,0.8333333333333334,9,108,-5.309181234346461,4.731081234346461,4.731081234346461,22.383129645985232,underprediction,4730,3913,630,largest_underprediction
B-2753,CCCCCCC(C\C=C/CCCCCCCC(O)=O)O[S](O)(=O)=O,,-0.5781,378.531,4.906400000000003,0,0,17,0.8333333333333334,9,108,-5.309181234346461,4.731081234346461,4.731081234346461,22.383129645985232,underprediction,4730,3913,630,largest_underprediction
B-2871,ClCCC(Cl)O[P](=O)(OC(Cl)CCCl)OC(Cl)CCCl,,-3.6344,430.907,5.725700000000003,0,0,12,1.0,9,108,-8.30173254134403,4.667332541344031,4.667332541344031,21.78399305148893,underprediction,4730,3913,630,largest_underprediction
B-1512,CCCC[P](=O)(CCCC)CCCC,,-0.5932,218.3209999999999,4.749800000000005,0,0,9,1.0,9,108,-5.178078520368285,4.584878520368285,4.584878520368285,21.021111046534475,underprediction,4730,3913,630,largest_underprediction
A-5480,Brc1ccc2c3cc4ccc5C(=O)c6ccccc6c7cc8ccc(C(=O)c2c1Br)c3c8c4c57,O=c1c2ccccc2c2cc3ccc4c(=O)c5ccccc5c5cc6ccc1c2c6c3c45,-4.4504277175,564.232,8.3178,8,8,0,0.0,3,102,-9.004631392429486,4.554203674929486,4.554203674929486,20.740771112741236,underprediction,6103,2540,323,largest_underprediction
A-5013,CCCCCCCCCCCCCCOC(=O)OOC(=O)OCCCCCCCCCCCCCC,,-4.3499005787,514.7880000000006,10.609999999999992,0,0,26,0.9333333333333332,9,108,-8.889462762206911,4.539562183506911,4.539562183506911,20.607624817926034,underprediction,4730,3913,630,largest_underprediction
A-5266,Cc1ccccc1O[P](S)(=S)Oc2ccccc2C,S=[PH](Oc1ccccc1)Oc1ccccc1,-1.0605299646,310.38000000000005,4.915540000000004,2,2,4,0.1428571428571428,9,108,-5.565548268339207,4.505018303739207,4.505018303739207,20.29518991702528,underprediction,4730,3913,630,largest_underprediction
A-2761,CCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCC,,-7.3271074817,424.7540000000004,9.931799999999996,0,0,25,0.9642857142857144,9,108,-11.815918242887623,4.488810761187623,4.488810761187623,20.14942204975381,underprediction,4730,3913,630,largest_underprediction
A-5980,C1CO[Sb]2OCCO[Sb](O1)OCCO2,C1C[O][Sb]2[O]CC[O][Sb]([O]1)[O]CC[O]2,-9.0249738719,423.6760000000001,-0.917,3,0,0,1.0,4,103,-1.9136586530614117,-7.111315218838588,7.111315218838588,50.57080414168532,overprediction,6914,1729,565,largest_overprediction
A-5980,C1CO[Sb]2OCCO[Sb](O1)OCCO2,C1C[O][Sb]2[O]CC[O][Sb]([O]1)[O]CC[O]2,-9.0249738719,423.6760000000001,-0.917,3,0,0,1.0,3,102,-2.043664186569276,-6.981309685330724,6.981309685330724,48.738684922492574,overprediction,6103,2540,323,largest_overprediction
A-5980,C1CO[Sb]2OCCO[Sb](O1)OCCO2,C1C[O][Sb]2[O]CC[O][Sb]([O]1)[O]CC[O]2,-9.0249738719,423.6760000000001,-0.917,3,0,0,1.0,5,104,-2.3404550492979976,-6.684518822602003,6.684518822602003,44.68279188972047,overprediction,6912,1731,622,largest_overprediction
A-5820,[Se],,-6.5751878449,78.96,-0.3808,0,0,0,0.0,8,107,0.10864031482420784,-6.683828159724208,6.683828159724208,44.673558868722296,overprediction,6239,2404,46,largest_overprediction
A-5820,[Se],,-6.5751878449,78.96,-0.3808,0,0,0,0.0,9,108,0.10599135174262724,-6.681179196642628,6.681179196642628,44.63815545765023,overprediction,4730,3913,630,largest_overprediction
A-5820,[Se],,-6.5751878449,78.96,-0.3808,0,0,0,0.0,6,105,0.09763923972841473,-6.672827084628415,6.672827084628415,44.52662130135055,overprediction,5655,2988,308,largest_overprediction
A-2783,B#N,,-6.394784279,24.819,-0.36572,0,0,0,0.0,8,107,0.23329359282210102,-6.628077871822101,6.628077871822101,43.93141627493779,overprediction,6239,2404,46,largest_overprediction
A-5604,[P],,-6.566718008,30.974,0.8612,0,0,0,0.0,8,107,0.057856850163701276,-6.624574858163701,6.624574858163701,43.88499205141462,overprediction,6239,2404,46,largest_overprediction
A-2783,B#N,,-6.394784279,24.819,-0.36572,0,0,0,0.0,6,105,0.13955493168522495,-6.534339210685225,6.534339210685225,42.69758892029841,overprediction,5655,2988,308,largest_overprediction
A-2783,B#N,,-6.394784279,24.819,-0.36572,0,0,0,0.0,9,108,0.10599135174262724,-6.500775630742627,6.500775630742627,42.2600838012572,overprediction,4730,3913,630,largest_overprediction
A-5786,CCOC(=O)C(=C)C#N,,-6.717139790499999,125.127,0.6292800000000001,0,0,2,0.3333333333333333,6,105,-0.30221221230709105,-6.414927578192908,6.414927578192908,41.15129583345993,overprediction,5655,2988,308,largest_overprediction
A-2714,CCCCC(=O)OCC(CO)(CO)COCC(CO)(CO)CO,,-6.8304564999,338.39700000000005,-1.3292999999999988,0,0,14,0.9333333333333332,6,105,-0.4426346503605279,-6.387821849539472,6.387821849539472,40.80426798145388,overprediction,5655,2988,308,largest_overprediction
A-5604,[P],,-6.566718008,30.974,0.8612,0,0,0,0.0,6,105,-0.18404102518809443,-6.382676982811905,6.382676982811905,40.73856546691688,overprediction,5655,2988,308,largest_overprediction
A-5786,CCOC(=O)C(=C)C#N,,-6.717139790499999,125.127,0.6292800000000001,0,0,2,0.3333333333333333,9,108,-0.41220595272431215,-6.304933837775687,6.304933837775687,39.75219069872885,overprediction,4730,3913,630,largest_overprediction
A-5786,CCOC(=O)C(=C)C#N,,-6.717139790499999,125.127,0.6292800000000001,0,0,2,0.3333333333333333,8,107,-0.446679485946617,-6.270460304553382,6.270460304553382,39.318672430979696,overprediction,6239,2404,46,largest_overprediction
A-5980,C1CO[Sb]2OCCO[Sb](O1)OCCO2,C1C[O][Sb]2[O]CC[O][Sb]([O]1)[O]CC[O]2,-9.0249738719,423.6760000000001,-0.917,3,0,0,1.0,6,105,-2.77864488891155,-6.24632898298845,6.24632898298845,39.01662576372152,overprediction,5655,2988,308,largest_overprediction
A-5604,[P],,-6.566718008,30.974,0.8612,0,0,0,0.0,9,108,-0.3352725000450182,-6.231445507954981,6.231445507954981,38.830913118612315,overprediction,4730,3913,630,largest_overprediction
A-5988,[Si],,-5.6631600565,28.086,-0.3808,0,0,0,0.0,8,107,0.23329359282210102,-5.896453649322101,5.896453649322101,34.768165638603925,overprediction,6239,2404,46,largest_overprediction
A-2482,S,,-5.5325378146,34.083,0.1128,0,0,0,0.0,8,107,0.2695704128112553,-5.802108227411256,5.802108227411256,33.664459882593384,overprediction,6239,2404,46,largest_overprediction
A-5988,[Si],,-5.6631600565,28.086,-0.3808,0,0,0,0.0,9,108,0.10599135174262724,-5.769151408242627,5.769151408242627,33.283107971227885,overprediction,4730,3913,630,largest_overprediction
A-5980,C1CO[Sb]2OCCO[Sb](O1)OCCO2,C1C[O][Sb]2[O]CC[O][Sb]([O]1)[O]CC[O]2,-9.0249738719,423.6760000000001,-0.917,3,0,0,1.0,4,103,-1.9136586530614117,-7.111315218838588,7.111315218838588,50.57080414168532,overprediction,6914,1729,565,largest_absolute_error
A-4449,CCN(CC)c1ccc(cc1)C(c2ccc(cc2)N(CC)CC)c3c4cc(ccc4ccc3[S](O)(=O)=O)[S](O)(=O)=O,c1ccc(C(c2ccccc2)c2cccc3ccccc23)cc1,-0.6984761494,596.7710000000004,6.205800000000007,4,4,11,0.2903225806451613,4,103,-7.690416292344022,6.9919401429440216,6.9919401429440216,48.88722696251207,underprediction,6914,1729,565,largest_absolute_error
A-5980,C1CO[Sb]2OCCO[Sb](O1)OCCO2,C1C[O][Sb]2[O]CC[O][Sb]([O]1)[O]CC[O]2,-9.0249738719,423.6760000000001,-0.917,3,0,0,1.0,3,102,-2.043664186569276,-6.981309685330724,6.981309685330724,48.738684922492574,overprediction,6103,2540,323,largest_absolute_error
A-5980,C1CO[Sb]2OCCO[Sb](O1)OCCO2,C1C[O][Sb]2[O]CC[O][Sb]([O]1)[O]CC[O]2,-9.0249738719,423.6760000000001,-0.917,3,0,0,1.0,5,104,-2.3404550492979976,-6.684518822602003,6.684518822602003,44.68279188972047,overprediction,6912,1731,622,largest_absolute_error
A-5820,[Se],,-6.5751878449,78.96,-0.3808,0,0,0,0.0,8,107,0.10864031482420784,-6.683828159724208,6.683828159724208,44.673558868722296,overprediction,6239,2404,46,largest_absolute_error
A-5820,[Se],,-6.5751878449,78.96,-0.3808,0,0,0,0.0,9,108,0.10599135174262724,-6.681179196642628,6.681179196642628,44.63815545765023,overprediction,4730,3913,630,largest_absolute_error
A-5820,[Se],,-6.5751878449,78.96,-0.3808,0,0,0,0.0,6,105,0.09763923972841473,-6.672827084628415,6.672827084628415,44.52662130135055,overprediction,5655,2988,308,largest_absolute_error
A-2783,B#N,,-6.394784279,24.819,-0.36572,0,0,0,0.0,8,107,0.23329359282210102,-6.628077871822101,6.628077871822101,43.93141627493779,overprediction,6239,2404,46,largest_absolute_error
A-5604,[P],,-6.566718008,30.974,0.8612,0,0,0,0.0,8,107,0.057856850163701276,-6.624574858163701,6.624574858163701,43.88499205141462,overprediction,6239,2404,46,largest_absolute_error
A-2783,B#N,,-6.394784279,24.819,-0.36572,0,0,0,0.0,6,105,0.13955493168522495,-6.534339210685225,6.534339210685225,42.69758892029841,overprediction,5655,2988,308,largest_absolute_error
A-4449,CCN(CC)c1ccc(cc1)C(c2ccc(cc2)N(CC)CC)c3c4cc(ccc4ccc3[S](O)(=O)=O)[S](O)(=O)=O,c1ccc(C(c2ccccc2)c2cccc3ccccc23)cc1,-0.6984761494,596.7710000000004,6.205800000000007,4,4,11,0.2903225806451613,1,100,-7.205700577336265,6.507224427936265,6.507224427936265,42.34396975553045,underprediction,6912,1731,602,largest_absolute_error
A-2783,B#N,,-6.394784279,24.819,-0.36572,0,0,0,0.0,9,108,0.10599135174262724,-6.500775630742627,6.500775630742627,42.2600838012572,overprediction,4730,3913,630,largest_absolute_error
A-4449,CCN(CC)c1ccc(cc1)C(c2ccc(cc2)N(CC)CC)c3c4cc(ccc4ccc3[S](O)(=O)=O)[S](O)(=O)=O,c1ccc(C(c2ccccc2)c2cccc3ccccc23)cc1,-0.6984761494,596.7710000000004,6.205800000000007,4,4,11,0.2903225806451613,5,104,-7.177208923641569,6.478732774241569,6.478732774241569,41.97397836003185,underprediction,6912,1731,622,largest_absolute_error
A-5786,CCOC(=O)C(=C)C#N,,-6.717139790499999,125.127,0.6292800000000001,0,0,2,0.3333333333333333,6,105,-0.30221221230709105,-6.414927578192908,6.414927578192908,41.15129583345993,overprediction,5655,2988,308,largest_absolute_error
A-2714,CCCCC(=O)OCC(CO)(CO)COCC(CO)(CO)CO,,-6.8304564999,338.39700000000005,-1.3292999999999988,0,0,14,0.9333333333333332,6,105,-0.4426346503605279,-6.387821849539472,6.387821849539472,40.80426798145388,overprediction,5655,2988,308,largest_absolute_error
A-5604,[P],,-6.566718008,30.974,0.8612,0,0,0,0.0,6,105,-0.18404102518809443,-6.382676982811905,6.382676982811905,40.73856546691688,overprediction,5655,2988,308,largest_absolute_error
A-5786,CCOC(=O)C(=C)C#N,,-6.717139790499999,125.127,0.6292800000000001,0,0,2,0.3333333333333333,9,108,-0.41220595272431215,-6.304933837775687,6.304933837775687,39.75219069872885,overprediction,4730,3913,630,largest_absolute_error
A-5786,CCOC(=O)C(=C)C#N,,-6.717139790499999,125.127,0.6292800000000001,0,0,2,0.3333333333333333,8,107,-0.446679485946617,-6.270460304553382,6.270460304553382,39.318672430979696,overprediction,6239,2404,46,largest_absolute_error
A-5980,C1CO[Sb]2OCCO[Sb](O1)OCCO2,C1C[O][Sb]2[O]CC[O][Sb]([O]1)[O]CC[O]2,-9.0249738719,423.6760000000001,-0.917,3,0,0,1.0,6,105,-2.77864488891155,-6.24632898298845,6.24632898298845,39.01662576372152,overprediction,5655,2988,308,largest_absolute_error
A-5604,[P],,-6.566718008,30.974,0.8612,0,0,0,0.0,9,108,-0.3352725000450182,-6.231445507954981,6.231445507954981,38.830913118612315,overprediction,4730,3913,630,largest_absolute_error
